,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-01,,,3.17,,4.01,3.41,7.77,4.6,5.92,5.02,1.55,2.99,,1.38,1.73,3.59,11
1,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-02,,,1.93,,5.72,3.06,7.14,3.97,6.01,6.91,2.04,2.49,2.27,1.3,1.59,3.4,14
2,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-03,,,2.95,,4.54,4.14,7.78,4.77,5.0,4.09,1.19,2.38,,,2.27,3.01,26
3,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-04,,,2.04,,4.02,3.97,7.78,4.4,5.36,4.67,1.23,2.2,,,1.72,2.68,34
4,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-05,,,3.21,,5.89,5.05,7.31,4.47,5.0,4.47,,1.37,,1.58,1.68,2.16,41
5,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-06,,,2.46,,4.55,3.5,7.22,4.6,4.18,3.77,1.46,2.14,,,2.2,2.46,29
6,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-07,,,1.71,,5.24,3.32,6.07,4.3,4.36,4.56,1.45,2.44,1.4,1.66,1.09,2.49,24
7,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-08,,,1.55,,3.77,3.2,5.79,4.54,4.44,4.24,,1.14,,,1.76,2.27,45
8,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-09,,,3.56,,3.5,3.1,6.95,5.05,6.03,5.28,1.55,1.44,1.21,1.9,2.12,2.18,22
9,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-10,,,1.94,,4.15,3.82,7.97,3.71,6.47,5.31,1.6,2.71,,1.22,2.21,2.77,18
10,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-11,,,2.07,,5.47,4.63,7.3,4.04,5.37,4.88,1.77,1.97,1.33,1.73,1.68,3.6,40
11,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-12,,,3.42,,3.89,3.99,7.26,4.15,4.41,3.89,,3.37,,1.14,1.61,2.28,54
12,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-13,,,2.1,,4.21,5.29,7.9,4.26,5.18,5.03,1.39,2.05,1.39,1.44,1.49,3.18,52
13,GB,United Kingdom,Gwynedd,GB-GWN,,,ChIJ7Q8cbLY0ZEgR_OasFAMbzuw,2021-01-14,,,2.1,,5.24,3.9,7.8,4.26,5.44,5.91,1.18,1.64,1.28,1.54,1.59,3.29,40
