,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-01,,,2.98,,4.03,5.02,5.71,3.54,5.21,4.9,1.3,1.86,,,2.11,3.54,59
1,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-02,,,3.0,,5.42,4.77,7.25,3.83,4.83,4.24,1.24,2.18,,,1.24,3.95,138
2,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-03,,,1.93,,4.64,3.56,7.78,4.28,4.28,4.46,,2.05,,,2.35,2.05,109
3,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-04,,,2.29,,5.78,3.98,4.9,4.09,5.34,4.74,1.14,2.29,,,2.12,2.94,152
4,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-05,,,2.1,,5.31,3.98,7.53,4.32,6.59,4.87,1.55,1.99,,,1.16,2.77,118
5,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-06,,,1.8,,4.26,4.59,6.12,4.21,6.23,5.58,1.91,1.69,,,1.53,2.46,77
6,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-07,,,2.0,,4.21,4.77,5.71,3.77,3.88,3.72,1.39,1.61,,,1.44,1.72,93
7,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-08,,,2.03,,4.44,3.07,6.3,4.27,4.82,4.88,1.48,2.14,,,1.81,2.08,69
8,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-09,,,2.09,,4.43,3.77,5.57,5.45,5.09,4.31,1.32,1.74,,,,2.81,71
9,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-10,,,2.38,,4.53,3.99,8.04,4.41,5.9,5.54,1.79,2.56,,,,3.93,56
10,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-11,,,2.27,,4.96,4.54,8.12,5.17,5.64,5.22,,2.37,,,1.58,2.69,91
11,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-12,,,1.5,,4.66,3.94,6.71,3.55,4.83,4.33,,1.89,,,1.39,1.83,81
12,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-13,,,2.15,,3.7,5.04,7.46,4.88,4.51,5.9,1.61,2.25,,,1.4,3.17,60
13,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-14,,,2.0,,5.54,4.96,8.07,4.17,5.91,5.86,2.0,2.32,,,1.95,2.16,73
14,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-15,,,2.1,,3.46,4.6,6.13,3.92,5.17,4.71,,1.53,,,,2.61,52
15,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-16,,,2.03,,5.8,3.59,5.14,3.23,5.62,4.84,1.31,1.91,,,1.55,2.57,41
16,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-17,,,2.03,,4.55,3.77,6.88,3.65,5.8,5.21,1.97,1.32,,,1.92,3.11,29
17,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-18,,,2.88,,4.49,4.65,6.31,4.43,4.93,4.82,1.72,1.88,,,1.61,2.66,68
18,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-19,,,1.7,,5.27,3.62,6.81,4.01,5.05,4.83,1.59,2.03,,,1.54,3.18,47
19,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-20,,,1.83,,3.93,4.26,7.0,4.36,5.12,4.53,1.13,2.32,,,1.72,3.12,42
20,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-21,,,2.23,,4.46,4.57,6.41,3.79,4.35,4.01,1.45,2.9,,,1.39,3.73,39
21,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-22,,,1.97,,5.4,4.16,6.24,3.65,5.29,5.79,1.18,1.63,,,1.91,2.19,32
22,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-23,,,2.54,,4.96,3.43,5.97,4.49,5.2,4.08,,2.01,,,1.54,2.89,39
23,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-24,,,,,4.5,5.78,6.26,3.04,7.6,5.05,1.58,3.53,,,1.7,2.25,34
24,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-25,,,1.98,,3.62,4.17,4.55,3.9,5.27,6.25,1.37,2.58,,,1.76,2.36,67
25,GB,United Kingdom,Hartlepool,GB-HPL,,,ChIJD8OlTU_zfkgRoKBv7Z75DAM,2021-01-26,,,1.75,,4.8,4.18,7.46,3.9,5.25,5.14,,2.49,,,2.03,1.75,52
