,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-01,,,2.61,,5.52,3.48,5.88,4.5,5.59,4.79,2.83,3.19,,,1.67,3.85,20
1,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-02,,,2.69,,4.78,4.25,5.66,3.1,5.12,4.38,2.49,1.62,,,1.42,2.49,52
2,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-03,,,1.49,,3.93,4.41,5.97,5.08,4.07,4.2,1.42,2.85,,,1.9,2.85,47
3,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-04,,,2.32,,3.93,4.9,5.03,4.45,5.22,3.67,2.9,2.06,,,1.42,2.96,43
4,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-05,,,2.72,,3.91,3.71,6.3,4.84,4.58,5.04,1.52,2.59,,,1.59,2.45,77
5,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-06,,,2.0,,4.57,3.86,7.85,4.31,4.31,5.08,1.42,2.0,,,1.42,3.6,57
6,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-07,,,2.9,,3.16,4.12,6.57,4.25,5.48,4.51,,2.26,,,,2.84,54
7,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-08,,,1.69,,5.28,5.15,6.32,3.71,4.23,4.3,,,,,,3.32,47
8,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-09,,,2.02,,3.85,4.64,6.4,3.59,3.98,4.64,,1.96,,,2.22,2.42,27
9,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-10,,,2.07,,4.67,5.64,6.55,3.82,4.47,4.8,1.81,1.56,,,1.81,2.07,25
10,GB,United Kingdom,Inverclyde,GB-IVC,,,ChIJH9joE7CxiUgRcLNCBhpoDAM,2021-01-11,,,2.9,,4.05,3.44,6.46,4.11,4.17,3.81,1.81,2.72,,,1.81,2.24,41
