,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-01,,,2.05,,4.64,4.02,5.81,2.95,5.0,4.82,,1.97,,,,3.66,15
1,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-02,,,,,5.83,4.35,6.09,4.7,4.7,4.88,2.0,2.0,,,2.18,2.79,19
2,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-03,,,,,4.2,3.86,7.12,4.37,5.83,3.69,,2.14,,,,2.57,25
3,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-04,,,2.06,,4.61,4.11,7.07,4.44,4.36,4.85,,2.47,,,2.14,2.88,21
4,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-05,,,2.0,,4.99,4.16,6.16,4.83,5.16,4.41,,,,,2.0,2.41,18
5,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-06,,,2.57,,3.57,3.9,7.14,4.56,4.15,3.9,,2.41,,,1.83,2.24,17
6,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-07,,,,,4.22,2.92,6.89,4.54,4.7,3.65,,1.78,,,2.27,3.81,10
7,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-08,,,2.6,,4.31,3.49,6.5,4.55,5.77,3.74,,,,,,2.44,14
8,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-09,,,,,2.88,2.8,7.6,3.76,5.42,5.24,,4.19,,,,2.62,20
9,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-10,,,,,5.42,3.36,5.08,4.73,4.73,4.91,,,,,2.5,2.32,8
10,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-11,,,,,3.81,3.27,6.3,4.74,3.65,4.59,,2.02,,,,2.25,23
11,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-12,,,,,3.97,4.87,7.11,4.21,3.14,4.05,,,,,,2.81,15
12,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-13,,,2.71,,4.07,3.35,7.58,3.75,3.91,3.59,,,,,3.43,,6
13,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-14,,,2.45,,3.1,3.59,8.57,3.59,4.66,4.74,,,,,,3.02,17
14,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-15,,,,,4.15,3.98,7.55,3.57,4.4,4.98,,2.57,,,,2.74,19
15,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-16,,,2.02,,3.07,3.24,8.15,4.12,5.17,5.08,,3.59,,,2.1,3.68,5
16,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-17,,,,,3.63,4.93,7.62,4.07,4.76,4.5,2.77,1.99,,,,3.89,7
17,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-18,,,2.0,,4.32,3.2,8.57,4.8,6.09,6.09,,2.88,,,1.76,2.72,29
18,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-19,,,2.73,,5.46,3.45,6.59,4.1,4.02,4.9,,2.81,,,1.69,3.21,16
19,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-20,,,,,3.59,3.59,7.5,4.07,4.15,5.34,,3.75,,,,2.87,11
20,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-21,,,2.65,,4.23,3.98,4.89,3.48,5.8,7.63,,2.9,,,,2.82,12
21,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-22,,,,,4.19,3.77,6.79,4.28,4.95,4.36,,,,,1.76,2.52,15
22,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-23,,,1.93,,4.03,3.86,6.75,4.47,5.52,4.38,,3.42,,,,2.72,7
23,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-24,,,1.85,,3.61,4.05,6.08,2.2,4.05,5.28,,2.29,,,,2.64,13
24,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-25,,,,,3.24,3.07,7.89,3.82,5.65,6.81,,2.24,,,2.82,2.41,24
25,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-26,,,1.72,,3.84,6.21,5.8,4.82,5.15,4.5,1.88,,,,1.88,1.96,15
26,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-27,,,2.03,,3.66,3.82,6.58,4.07,5.37,6.1,,,,,,2.28,9
27,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-28,,,,,3.86,3.78,10.21,2.73,5.39,4.99,,,,,,3.06,17
28,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-29,,,,,3.38,5.61,7.34,3.63,3.96,3.71,,,,,,2.31,16
29,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-30,,,2.25,,2.86,4.33,6.06,3.03,5.71,5.19,,,,,1.9,2.68,8
30,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-01-31,,,3.59,,4.12,4.29,7.89,1.93,4.65,4.21,,,,,2.19,3.07,11
31,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-01,,,2.83,,3.63,4.77,9.13,3.8,5.9,4.28,,1.86,,,,3.72,27
32,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-02,,,2.5,,4.6,3.79,7.5,4.44,5.41,5.0,,2.5,,,,2.66,33
33,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-03,,,2.08,,5.82,4.91,7.57,4.24,6.15,4.99,,1.91,,,3.16,2.33,15
34,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-04,,,2.9,,2.49,5.06,7.14,5.14,4.81,4.65,,1.82,,,1.91,1.82,16
35,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-05,,,2.52,,3.61,5.04,7.65,5.29,5.8,4.96,,,,,2.27,3.02,16
36,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-06,,,2.87,,3.86,5.83,6.64,3.5,2.6,4.67,,1.98,,,,2.96,3
37,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-07,,,,,3.98,4.25,7.17,6.11,6.55,5.66,1.95,,,,,3.36,5
38,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-08,,,2.92,,4.16,4.83,6.91,3.75,5.41,5.33,,2.83,,,,4.58,13
39,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-09,,,,,3.45,4.04,5.39,4.55,4.38,4.88,,2.78,,,1.77,3.29,8
40,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-10,,,3.78,,3.78,4.55,5.84,3.01,5.07,4.38,,2.32,,,,3.09,14
41,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-11,,,1.8,,3.94,2.83,7.88,3.43,3.68,5.05,2.23,2.74,,,1.8,2.4,15
42,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-12,,,,,3.23,3.85,4.63,3.5,4.54,4.63,,2.19,,,2.1,2.54,16
43,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-13,,,,,2.53,4.02,6.46,3.06,5.07,4.28,,,,,,2.36,8
44,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-14,,,,,2.8,3.79,6.58,3.34,4.6,5.05,,2.17,,,1.98,2.71,4
45,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-15,,,,,4.42,4.85,7.89,3.81,5.2,4.94,,,,,,2.86,16
46,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-16,,,2.26,,4.79,4.25,8.23,5.25,5.52,5.88,,,,,,2.62,13
47,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-17,,,,,3.54,3.35,8.97,2.36,5.98,4.62,,1.99,,,,,7
48,GB,United Kingdom,Isle of Anglesey,GB-AGY,,,ChIJ7Q8cbLY0ZEgRW9OLuxStLpA,2021-02-18,,,,,3.46,5.37,7.73,5.46,4.82,5.46,,2.27,,,3.37,3.91,16
