,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-01,,,3.65,,8.37,5.32,7.86,8.26,7.55,6.49,2.23,3.04,1.77,1.32,2.89,3.65,152
1,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-02,,,1.91,,8.45,5.68,7.09,8.75,6.14,5.23,1.86,2.82,1.76,1.51,2.62,3.37,244
2,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-03,,,3.7,,8.01,5.35,8.15,9.71,6.15,6.8,2.1,2.55,1.35,1.7,2.75,2.65,38
3,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-04,,,2.71,,7.79,4.72,7.01,8.34,4.63,4.81,,2.61,2.11,1.19,2.29,3.62,394
4,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-05,,,2.63,,7.3,5.09,6.33,8.32,6.24,6.2,1.25,2.13,1.34,1.48,2.82,3.19,362
5,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-06,,,1.75,,6.87,4.61,7.52,6.92,5.03,5.49,1.75,2.03,1.98,1.06,1.84,1.52,228
6,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-07,,,2.82,,7.53,4.48,6.19,8.69,6.7,6.19,1.25,1.85,1.85,1.16,2.77,3.33,184
7,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-08,,,1.72,,6.71,4.38,7.87,6.66,4.75,5.82,1.68,1.91,1.49,1.91,1.49,2.89,222
8,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-09,,,2.08,,7.19,4.61,7.29,7.24,5.11,5.01,1.54,3.32,1.19,1.83,1.83,2.78,163
9,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-10,,,2.9,,6.61,5.71,7.41,7.76,6.81,5.86,2.5,2.35,1.4,,2.1,2.65,109
10,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-11,,,3.45,,7.44,4.36,7.85,6.22,5.36,4.86,1.91,2.77,1.0,1.72,2.0,2.45,206
11,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-12,,,2.73,,6.64,4.73,8.37,7.05,4.59,5.18,1.36,2.96,1.41,1.23,2.64,2.91,158
12,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-13,,,2.24,,6.23,4.85,9.43,7.92,6.14,5.31,,2.66,1.28,1.24,1.83,2.75,143
13,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-14,,,2.74,,4.79,4.92,7.39,8.48,6.16,5.47,1.82,2.74,1.28,1.09,2.92,2.37,102
14,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-15,,,2.82,,6.43,4.51,7.75,6.9,4.98,4.51,1.55,2.54,1.5,1.69,2.3,2.91,134
15,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-16,,,3.3,,6.35,4.51,7.66,5.82,7.61,6.3,1.75,2.47,1.11,1.7,2.08,2.81,77
16,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-17,,,2.62,,6.09,4.88,8.41,4.93,6.45,6.4,2.06,2.92,1.46,1.46,2.37,3.37,51
17,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-18,,,2.16,,6.2,5.05,8.22,5.65,5.6,5.65,1.7,2.21,1.61,1.24,1.84,3.26,130
18,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-19,,,2.51,,6.35,5.21,7.35,5.85,5.75,6.03,1.78,2.47,1.64,1.78,2.06,3.01,97
19,GB,United Kingdom,Isle of Wight,GB-IOW,,,ChIJCY_IX6x4c0gRMh_bnC8V9F4,2021-01-20,,,2.63,,4.9,6.26,8.3,5.54,5.72,5.99,1.77,1.59,0.95,1.5,2.0,3.08,88
