,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-01,,,2.13,,4.58,4.01,5.36,3.35,5.85,4.54,1.59,2.41,0.9,1.27,1.43,3.44,86
1,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-02,,,2.14,,4.2,4.08,6.42,4.2,5.07,4.04,1.62,2.53,1.47,1.35,2.42,3.13,116
2,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-03,,,2.82,,5.4,3.64,6.62,5.13,4.31,4.38,1.96,2.19,0.9,0.94,1.88,2.58,133
3,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-04,,,2.35,,5.09,4.77,5.87,4.59,4.56,3.84,1.53,1.74,1.0,1.28,1.81,2.49,173
4,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-05,,,1.97,,5.9,4.72,6.47,4.61,5.61,4.83,,2.43,1.25,1.36,1.75,3.43,129
5,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-06,,,2.39,,4.96,4.1,7.67,4.39,4.92,4.71,1.71,2.28,1.46,,2.25,2.64,127
6,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-07,,,2.04,,5.58,4.4,6.94,3.65,4.33,4.9,1.82,2.4,1.04,,1.11,2.94,101
7,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-08,,,1.32,,4.17,4.17,6.63,4.53,5.64,4.89,1.43,1.93,1.6,1.35,1.53,2.5,78
8,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-09,,,2.43,,5.32,4.08,5.89,4.93,4.89,5.24,1.97,2.04,1.16,1.54,1.31,2.27,53
9,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-10,,,2.34,,4.91,4.48,7.52,4.75,5.14,5.88,1.68,2.1,1.6,1.68,1.01,2.61,74
10,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-11,,,2.05,,5.05,3.49,6.53,4.8,4.73,4.52,1.2,2.08,1.52,1.8,1.02,3.28,105
11,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-12,,,2.46,,4.52,4.2,6.44,3.54,4.92,4.99,1.08,2.31,1.37,0.94,1.59,2.68,105
12,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-13,,,2.21,,4.52,4.3,7.22,3.7,4.91,5.09,1.64,1.99,1.56,1.46,1.32,2.24,113
13,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-14,,,2.48,,4.25,3.71,6.69,4.6,4.92,5.06,0.88,2.3,1.13,1.66,1.49,2.69,108
14,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-15,,,1.68,,4.75,2.99,5.29,3.76,5.08,4.38,1.53,1.61,1.09,1.53,1.72,2.45,89
15,GB,United Kingdom,Middlesbrough,GB-MDB,,,ChIJ7WjKLlrsfkgRwKBv7Z75DAM,2021-01-16,,,2.69,,4.26,3.4,6.01,4.02,5.55,5.55,1.91,2.38,,1.29,1.13,2.31,103
