,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-01,,,2.11,,4.55,4.35,6.34,4.22,6.54,4.63,1.26,2.72,0.85,1.3,2.44,3.49,29
1,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-02,,,2.97,,4.71,4.99,7.25,3.21,4.79,5.42,2.89,2.57,,1.03,1.66,3.48,31
2,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-03,,,2.83,,5.26,4.75,8.4,3.54,5.7,4.87,1.41,2.32,1.02,1.14,1.73,2.75,20
3,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-04,,,2.37,,4.38,4.3,5.95,4.16,4.38,4.05,1.06,2.19,0.84,1.31,2.12,2.33,63
4,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-05,,,2.33,,4.88,3.66,7.5,3.21,5.65,4.95,1.7,2.29,1.22,1.92,1.96,3.36,46
5,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-06,,,2.79,,4.71,4.82,7.9,3.6,5.7,5.66,2.02,2.13,1.51,1.58,1.91,2.35,30
6,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-07,,,2.28,,4.96,4.45,7.43,5.26,5.41,4.56,1.43,2.21,1.18,1.43,1.66,2.79,35
7,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-08,,,2.36,,4.93,2.76,7.77,4.42,5.26,5.41,1.62,1.84,,1.1,1.8,2.13,36
8,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-09,,,2.42,,4.37,4.45,6.75,4.05,5.99,5.52,1.51,2.46,,1.27,,2.5,20
9,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-10,,,2.3,,4.12,4.48,6.93,3.96,6.62,5.63,1.58,2.54,1.43,1.19,1.35,2.77,34
10,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-11,,,2.69,,4.54,4.4,7.63,4.58,6.29,4.83,1.6,2.18,0.91,0.98,2.36,2.62,30
11,GB,United Kingdom,North East Lincolnshire,GB-NEL,,,ChIJJ28lguuEeEgR4KBv7Z75DAM,2021-01-12,,,2.22,,4.84,3.84,8.02,4.51,5.84,6.28,1.92,2.4,1.03,0.89,1.7,2.55,28
