,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-01,,,2.47,,5.13,5.46,6.99,3.27,7.32,6.1,1.9,2.22,1.09,1.33,2.14,3.56,31
1,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-02,,,1.94,,4.01,4.52,6.74,4.17,5.99,5.71,1.55,1.67,1.03,1.31,2.1,2.78,67
2,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-03,,,3.06,,5.42,4.63,6.48,3.46,5.69,5.26,1.3,1.81,0.94,1.61,2.44,3.18,41
3,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-04,,,2.18,,4.39,4.24,6.53,3.26,5.33,4.82,1.6,2.21,1.2,1.38,1.81,2.5,68
4,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-05,,,1.84,,4.83,4.61,6.34,4.79,6.3,5.22,1.15,2.27,1.01,1.51,1.58,2.66,42
5,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-06,,,2.1,,4.49,4.12,7.09,4.78,5.64,4.88,0.98,1.52,1.01,0.8,1.59,2.64,37
6,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-07,,,2.29,,5.06,4.4,6.73,4.58,5.82,5.28,1.35,2.18,0.84,1.24,2.04,2.33,42
7,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-08,,,1.6,,4.55,4.44,6.08,4.41,4.95,5.68,1.89,2.11,1.06,0.77,1.49,2.88,42
8,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-09,,,2.45,,4.43,3.64,6.05,3.68,5.85,4.55,1.78,1.42,1.23,1.23,1.82,3.0,24
9,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-10,,,2.12,,5.22,3.96,7.54,3.53,6.24,5.65,1.92,2.16,0.94,1.45,2.0,2.94,25
10,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-11,,,2.42,,5.31,3.85,8.51,4.52,4.63,5.2,2.06,2.39,1.64,1.42,1.82,2.6,44
11,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-12,,,2.54,,4.75,4.64,7.32,4.12,5.22,4.53,1.54,2.06,1.14,1.66,2.13,3.2,46
12,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-13,,,2.41,,4.96,4.64,7.26,3.31,5.82,5.64,1.73,1.8,1.29,1.69,2.44,3.16,49
13,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-14,,,1.67,,4.01,4.4,6.29,4.05,6.21,5.22,0.96,2.41,1.49,1.28,1.21,2.45,35
14,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-15,,,2.4,,4.19,4.85,6.3,3.79,5.14,4.66,1.6,2.33,1.2,1.13,1.42,3.24,27
15,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-16,,,2.57,,4.59,4.79,6.81,4.08,6.25,6.18,1.47,2.1,,1.23,1.47,3.37,22
16,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-17,,,1.54,,5.14,4.9,7.67,4.15,6.4,7.74,1.3,2.02,1.3,1.74,1.58,3.12,21
17,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-18,,,2.35,,4.45,4.82,7.32,4.17,5.72,5.32,1.34,2.9,1.01,0.98,1.63,2.64,49
18,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-19,,,2.16,,5.11,5.76,7.99,3.82,7.24,6.08,1.3,2.09,1.22,1.55,1.94,2.27,44
19,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-20,,,2.22,,4.22,4.83,7.41,4.62,6.3,5.98,1.83,2.47,1.4,1.43,2.0,2.97,27
20,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-21,,,1.86,,4.2,4.24,7.23,3.62,5.11,5.81,1.46,1.64,1.5,1.61,2.15,2.56,32
21,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-22,,,1.93,,3.6,4.45,7.78,3.97,5.86,5.67,1.33,2.52,1.22,1.37,1.41,3.34,39
22,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-23,,,1.99,,3.97,5.08,6.36,4.25,6.43,5.56,1.75,1.91,,1.11,2.7,2.34,18
23,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-24,,,2.24,,3.68,4.64,6.32,5.2,6.32,6.36,1.28,2.44,0.92,1.72,1.16,2.92,19
24,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-25,,,2.31,,4.62,3.9,6.72,4.59,5.85,6.36,0.83,2.06,0.9,0.97,2.13,2.64,26
25,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-26,,,2.59,,4.77,4.23,6.59,4.55,5.57,4.88,0.98,1.86,1.46,1.49,1.53,2.37,32
26,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-27,,,1.98,,4.18,4.4,7.34,4.44,6.39,5.69,1.47,2.35,1.32,1.17,1.17,3.01,35
27,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-28,,,1.97,,5.15,4.54,7.23,3.62,5.87,5.3,1.36,1.97,,1.29,1.32,2.54,41
28,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-29,,,2.51,,2.94,4.79,6.65,3.63,4.94,4.76,1.24,2.0,0.87,0.83,1.71,2.25,31
29,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-30,,,1.66,,3.59,4.3,7.57,3.75,5.36,5.12,1.74,2.6,0.91,1.1,1.3,3.55,27
30,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-01-31,,,2.16,,5.78,4.52,7.15,4.28,5.93,5.74,1.1,2.08,,1.69,2.4,2.99,23
31,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-01,,,2.79,,4.52,3.62,8.86,4.05,5.28,4.52,1.19,1.84,1.12,1.92,1.38,2.6,31
32,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-02,,,1.92,,5.17,5.13,8.44,3.88,5.84,5.42,0.96,2.78,2.28,0.78,1.57,2.14,46
33,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-03,,,2.11,,5.24,4.18,7.13,4.18,6.15,5.42,0.84,1.96,1.38,1.46,2.11,2.77,24
34,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-04,,,2.23,,3.62,4.9,7.82,4.06,5.63,5.59,,1.75,1.72,1.02,1.43,2.78,29
35,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-05,,,2.7,,3.33,4.15,8.15,3.67,4.93,5.33,1.19,1.52,,0.85,1.96,3.15,25
36,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-06,,,2.69,,4.29,4.49,5.97,3.32,5.31,5.7,1.17,1.87,0.82,,2.42,3.01,30
37,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-07,,,2.75,,3.45,4.32,5.93,3.88,5.38,4.43,0.98,2.55,1.02,,1.69,2.9,22
38,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-08,,,2.53,,3.12,3.94,6.28,3.08,4.98,4.72,1.26,1.86,1.26,1.11,2.08,2.23,22
39,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-09,,,2.12,,4.32,4.58,5.84,3.57,6.29,5.84,1.27,1.94,1.34,1.27,1.68,2.49,33
40,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-10,,,2.02,,3.82,4.57,6.67,3.9,4.91,4.91,,2.85,0.97,1.05,1.87,2.55,23
41,GB,United Kingdom,North Lincolnshire,GB-NLN,,,ChIJIUNmHbvveEgRgKJv7Z75DAM,2021-02-11,,,2.17,,4.22,4.15,6.46,4.03,6.01,5.6,1.08,2.46,1.16,1.08,1.64,3.17,15
