,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-01,,,1.95,0.39,4.98,4.27,6.37,3.9,5.85,4.4,2.02,2.21,0.71,1.17,1.8,3.08,82
1,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-02,,,2.46,,4.81,4.06,6.8,3.62,5.13,4.4,1.58,2.24,0.68,1.17,1.97,2.71,174
2,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-03,,,2.44,,5.67,4.43,7.38,4.14,5.78,5.23,1.55,2.44,0.73,1.28,2.1,2.56,129
3,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-04,,,2.05,0.4,5.15,4.44,6.81,4.78,4.88,4.66,1.63,2.1,1.13,1.21,2.04,2.76,211
4,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-05,,,2.4,,4.34,4.17,6.59,4.82,5.17,4.97,1.4,2.08,1.02,1.08,1.7,2.69,155
5,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-06,,,2.1,0.4,5.08,4.66,6.73,4.44,4.98,4.78,1.22,2.14,0.98,1.08,1.59,2.71,123
6,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-07,,,2.04,0.37,4.53,3.6,7.16,3.84,5.24,5.09,1.48,2.0,1.08,0.99,1.62,2.38,116
7,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-08,,,2.1,,4.34,4.17,6.55,4.65,4.99,4.09,1.02,1.75,1.19,1.15,1.41,2.32,95
8,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-09,,,1.68,0.46,4.58,4.28,6.1,4.25,5.16,5.05,1.12,2.16,1.28,1.37,1.68,2.2,82
9,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-10,,,2.32,,4.8,3.74,7.26,4.66,5.7,5.23,1.91,1.98,1.02,0.83,1.87,2.62,89
10,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-11,,,2.13,0.49,4.4,4.4,7.47,4.04,4.33,4.33,0.99,2.38,1.19,1.38,1.48,2.54,133
11,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-12,,,2.19,,4.3,3.95,6.62,3.78,5.18,4.74,1.19,2.27,1.18,0.92,1.66,2.5,124
12,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-13,,,2.04,0.4,3.98,4.29,6.68,3.65,5.44,5.21,1.14,1.77,1.24,1.02,1.69,2.36,155
13,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-14,,,1.89,0.53,4.68,4.08,6.69,3.85,5.25,4.9,1.0,1.84,1.01,1.18,1.51,2.59,115
14,GB,United Kingdom,Northumberland,GB-NBL,,,ChIJzWRvDH6FfUgRmcRi5Pzuur8,2021-01-15,,,1.72,,3.98,4.15,6.16,4.03,4.73,4.47,0.92,1.77,1.01,1.04,1.18,2.41,127
