,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-01,,,2.75,,6.1,5.0,6.69,5.68,6.49,5.57,2.31,3.32,1.43,1.01,2.39,4.05,88
1,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-02,,,2.63,,5.18,4.64,6.46,5.04,6.27,5.4,2.17,2.55,1.06,1.25,2.31,3.23,182
2,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-03,,,2.42,,4.68,4.76,7.28,5.97,6.02,4.81,1.89,3.08,1.47,1.71,2.34,3.23,166
3,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-04,,,2.88,,5.01,3.9,6.43,5.41,4.7,4.51,1.47,2.1,1.49,1.21,1.94,2.81,225
4,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-05,,,2.25,,5.68,3.93,6.84,5.23,6.32,6.18,1.78,2.35,1.47,1.35,1.78,3.13,248
5,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-06,,,2.76,,5.91,4.66,6.2,5.23,5.44,5.18,1.41,2.26,1.25,1.3,1.89,2.69,212
6,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-07,,,2.18,,5.81,4.05,5.88,4.36,5.1,5.1,1.52,2.06,1.21,1.16,2.16,2.65,193
7,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-08,,,1.69,,5.55,3.99,6.0,5.05,4.98,4.98,1.4,1.71,1.4,1.28,1.92,2.94,174
8,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-09,,,2.26,,5.67,4.21,5.43,4.63,5.83,5.75,1.92,2.13,0.94,1.53,1.3,2.6,190
9,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-10,,,2.46,,4.65,4.34,7.49,5.26,5.61,5.74,2.03,2.13,1.17,1.19,1.5,3.63,147
10,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-11,,,2.27,,5.98,4.63,6.87,6.21,4.81,4.86,1.47,2.7,1.19,1.12,2.06,3.62,304
11,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-12,,,2.46,,5.25,4.21,7.81,5.16,5.64,5.69,1.31,2.99,1.38,1.68,2.21,3.55,197
12,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-13,,,2.46,,5.39,4.19,8.02,5.28,5.18,4.95,1.68,2.67,1.71,1.64,2.05,2.93,184
13,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-14,,,2.39,,4.18,4.52,7.41,5.12,5.85,5.88,1.06,2.18,1.38,1.35,1.74,3.01,150
14,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-15,,,2.3,,4.51,4.34,6.76,4.68,4.65,4.96,1.57,1.73,1.21,0.97,1.8,2.47,114
15,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-16,,,2.2,,5.14,4.09,6.93,5.07,6.04,5.35,1.66,2.02,0.69,0.84,2.15,3.71,143
16,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-17,,,2.1,,5.0,4.41,6.59,5.49,6.13,6.59,1.69,2.64,1.03,1.41,1.61,2.92,123
17,GB,United Kingdom,Portsmouth,GB-POR,,,ChIJ5yrWSmhddEgRwJ7toi2uDgM,2021-01-18,,,2.2,,5.26,4.31,8.13,4.82,5.33,5.33,1.46,2.71,1.23,1.67,2.02,3.52,169
