,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-01,,,2.05,,4.39,4.84,5.05,3.16,4.8,4.39,1.56,1.85,0.9,1.07,1.97,3.94,50
1,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-02,,,2.27,,3.19,3.58,5.42,3.51,4.18,3.54,1.91,1.75,1.43,1.47,1.35,2.31,78
2,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-03,,,2.37,,4.65,4.5,5.56,4.1,5.01,4.26,1.1,2.17,,,1.89,2.17,111
3,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-04,,,2.35,,4.59,3.92,5.89,4.36,4.25,4.14,1.46,1.94,1.27,1.12,1.64,2.5,133
4,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-05,,,1.83,,4.03,5.19,5.42,4.29,5.12,4.33,1.38,1.53,0.97,1.61,1.53,2.24,87
5,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-06,,,1.54,,4.09,3.87,6.12,4.2,5.25,5.29,1.09,2.1,1.28,0.9,1.24,2.18,95
6,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-07,,,1.95,,4.06,3.87,6.46,3.76,4.4,4.58,1.31,2.14,,,1.58,2.14,98
7,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-08,,,2.39,,4.47,4.06,6.3,4.36,4.29,4.7,1.94,2.27,0.86,1.12,1.19,2.5,58
8,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-09,,,2.04,,3.92,3.52,5.83,4.0,4.51,4.28,1.12,1.48,,1.08,1.72,1.76,52
9,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-10,,,2.74,,3.9,4.73,6.88,4.33,4.77,4.57,1.39,1.75,0.83,,1.95,2.11,47
10,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-11,,,2.06,,4.04,3.77,8.33,4.15,4.41,4.45,1.38,1.94,1.05,1.57,0.9,2.88,120
11,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-12,,,2.27,,4.26,3.69,6.72,3.61,4.42,3.99,1.23,1.92,0.92,1.19,1.73,2.38,82
12,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-13,,,2.94,,3.59,4.12,7.02,3.89,5.89,5.36,1.21,2.57,1.02,,1.4,2.53,104
13,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-14,,,1.27,,4.04,3.92,6.24,3.62,4.6,4.89,1.12,2.62,1.08,1.34,0.93,2.35,73
14,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-15,,,2.23,,3.08,3.27,6.93,3.47,5.39,4.16,,1.62,1.08,1.08,,2.08,69
15,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-16,,,1.85,,3.46,3.67,5.84,2.98,4.83,3.99,1.73,2.18,0.85,,1.33,2.7,54
16,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-17,,,2.21,,4.46,4.21,5.3,3.57,4.58,4.9,1.24,2.29,1.12,,1.41,3.09,68
17,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-18,,,2.9,,4.08,3.81,7.43,4.23,4.5,4.23,,2.13,1.26,1.75,1.33,2.71,111
18,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-19,,,2.13,,4.11,4.14,7.02,4.29,4.52,3.66,1.83,2.5,1.42,1.01,1.27,2.95,111
19,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-20,,,1.77,,4.57,4.12,5.82,3.83,4.34,4.12,0.99,1.95,1.1,1.1,1.73,1.99,92
20,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-21,,,2.04,,3.6,4.47,6.85,4.66,4.47,4.39,1.21,1.51,,1.29,2.12,2.23,67
21,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-22,,,2.06,,3.16,3.93,5.79,4.54,4.46,5.11,1.37,1.91,0.8,,1.6,2.75,69
22,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-23,,,2.2,,3.99,4.15,6.35,3.67,5.35,5.51,,2.63,,0.92,1.36,3.19,53
23,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-24,,,2.4,,3.9,4.35,5.89,3.01,5.69,5.32,1.34,1.83,,1.02,1.87,2.64,46
24,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-25,,,2.38,,3.9,4.69,6.36,3.18,4.16,5.15,,1.85,,2.27,1.29,2.99,62
25,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-26,,,2.4,,3.35,3.31,6.78,4.42,4.57,4.0,1.41,2.13,,1.64,1.68,2.63,77
26,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-27,,,1.4,,4.31,4.16,5.75,4.31,4.39,4.31,1.55,1.7,1.17,1.02,1.51,2.42,46
27,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-28,,,2.23,,4.04,4.34,8.38,3.55,4.98,4.76,1.25,1.89,1.06,1.02,1.47,2.79,55
28,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-29,,,2.13,,3.54,4.19,5.75,3.24,3.77,3.58,,1.71,0.84,,1.37,2.09,52
29,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-30,,,1.77,,4.23,3.87,6.04,2.54,4.15,4.59,1.37,1.69,0.93,1.05,,2.98,37
30,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-01-31,,,1.55,,4.3,3.89,7.04,3.64,6.14,5.28,1.02,2.04,1.88,0.94,1.68,3.15,40
31,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-01,,,1.7,,4.0,3.36,6.38,3.17,4.64,4.95,1.47,2.11,0.98,1.13,1.77,2.45,63
32,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-02,,,2.06,,4.34,3.9,6.55,3.82,4.91,5.13,,2.13,2.4,0.97,1.16,2.36,51
33,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-03,,,1.43,,4.89,3.91,6.28,4.74,5.38,4.82,1.13,2.18,1.5,1.09,0.9,3.2,50
34,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-04,,,2.67,,3.93,4.58,6.37,2.63,5.07,4.81,1.72,2.29,,1.18,1.14,2.52,43
35,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-05,,,1.55,,4.55,4.43,6.84,3.03,5.05,4.97,1.63,2.06,0.89,0.85,1.48,2.56,41
36,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-06,,,2.41,,4.27,2.69,5.21,2.77,4.54,4.9,1.5,1.9,1.19,1.07,1.42,2.29,27
37,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-07,,,2.28,,3.52,3.64,5.81,2.88,4.28,4.72,1.32,2.24,1.0,1.24,1.0,2.6,22
38,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-08,,,1.79,,3.28,4.16,5.46,3.51,4.84,4.23,1.49,2.14,0.84,,1.14,2.25,41
39,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-09,,,2.43,,3.89,4.28,7.09,3.08,4.82,4.66,1.19,1.66,,1.12,1.35,2.2,36
40,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-10,,,2.49,,3.54,3.31,6.35,2.42,4.71,5.03,1.28,1.09,1.17,1.13,1.4,1.6,48
41,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-11,,,1.74,,2.94,4.25,7.15,3.67,3.4,4.71,1.12,2.2,0.85,,1.54,2.32,47
42,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-12,,,1.69,,2.75,3.82,5.08,3.03,4.72,4.41,1.18,1.22,1.18,0.94,1.77,2.12,42
43,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-13,,,1.51,,2.7,3.96,5.4,2.94,4.46,3.72,1.19,1.23,0.86,,1.19,2.17,37
44,GB,United Kingdom,Redcar and Cleveland,GB-RCC,,,ChIJPWx3MfrkfkgR0KBv7Z75DAM,2021-02-14,,,1.82,,3.1,3.97,5.42,2.69,4.34,4.63,1.2,1.53,0.99,1.28,0.99,2.23,22
