,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-01,,,3.78,,6.58,3.36,7.28,5.32,8.12,3.78,,,,,,3.5,12
1,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-02,,,,,4.05,6.01,7.41,3.77,6.15,3.63,,4.19,,,,,28
2,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-03,,,3.31,,6.06,4.55,5.92,5.1,7.16,5.51,,3.44,,,,3.58,9
3,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-04,,,,,6.68,4.95,5.57,5.81,4.7,4.95,3.09,,,,2.97,3.22,15
4,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-05,,,,,,3.7,5.11,4.34,7.02,6.25,,,,,,2.94,17
5,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-06,,,,,,5.46,5.85,4.68,5.72,6.63,,,,,,,22
6,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-07,,,,,3.54,4.98,4.59,5.63,6.29,5.37,,,,,,3.54,11
7,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-08,,,,,4.66,4.14,7.12,4.66,5.05,5.57,,,,,,3.11,15
8,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-09,,,,,,6.01,6.57,4.61,3.92,4.75,,,,,,,11
9,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-10,,,,,4.15,4.98,9.26,4.98,4.7,3.6,,,,,,,7
10,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-11,,,,,4.16,3.65,8.32,3.91,5.54,6.05,,,,,,,27
11,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-12,,,3.39,,4.96,3.65,7.3,7.3,4.3,3.0,,,,,2.87,,15
12,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-13,,,,,5.34,4.84,6.75,6.87,,3.44,,,,,,2.67,9
13,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-14,,,,,4.78,5.04,5.55,5.04,6.07,6.33,,,,,,,14
14,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-15,,,,,3.52,4.04,6.26,4.95,4.82,4.17,,,,,,3.65,12
15,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-16,,,,,3.64,5.04,6.72,6.16,4.48,5.88,,,,,3.22,3.22,13
16,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-17,,,,,3.54,5.81,8.65,6.66,6.66,5.39,,,,,,,4
17,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-18,,,3.49,,3.75,6.47,8.02,4.79,5.43,6.21,,,,,2.72,3.88,14
18,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-19,,,4.11,,3.34,4.63,7.2,3.6,4.75,5.14,3.98,,,,2.96,4.11,10
19,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-20,,,,,3.04,3.3,6.6,5.96,5.45,5.33,,,,,,,11
20,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-21,,,,,4.44,4.83,3.66,5.35,4.31,4.83,,,,,,3.0,12
21,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-22,,,,,4.88,3.3,7.12,4.88,4.62,4.22,,2.9,,,,,12
22,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-23,,,,,5.45,,6.7,5.72,5.31,3.21,,,,,,3.35,8
23,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-24,,,3.09,,3.24,4.41,7.21,5.29,5.0,5.15,,,,,,3.09,1
24,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-25,,,,,5.28,3.3,5.54,3.83,4.35,7.12,3.3,,,,3.43,3.56,16
25,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-26,,,,,3.33,4.87,7.04,5.12,5.89,5.63,,,,,,3.07,7
26,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-27,,,,,5.46,,6.89,5.85,7.93,5.59,,,,,,2.73,15
27,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-28,,,,,3.38,2.99,6.62,4.42,6.36,5.32,,,,,,2.86,5
28,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-29,,,,,,5.0,4.23,3.72,4.36,4.36,,,,,,2.82,15
29,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-30,,,,,,6.12,5.57,4.73,4.73,3.9,,,,,,,20
30,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-01-31,,,,,8.0,3.93,6.04,3.51,5.33,3.79,,,,,,,13
31,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-01,,,3.77,,4.54,5.84,9.09,6.88,5.97,4.41,,,,,,,18
32,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-02,,,,,4.83,4.58,6.74,5.09,5.85,6.23,,,,,,3.56,18
33,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-03,,,,,4.03,4.29,5.46,3.9,6.76,5.59,,,,,,,63
34,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-04,,,2.7,,2.96,4.38,9.27,5.92,7.6,5.54,,,,,,,50
35,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-05,,,,,4.07,3.68,8.41,4.73,4.73,3.81,,,,,,,23
36,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-06,,,,,4.43,4.16,4.71,5.26,5.26,6.37,,,,,,3.32,7
37,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-07,,,4.6,,4.46,5.41,6.49,7.43,5.95,3.65,,4.6,,,,,5
38,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-08,,,,,5.81,4.67,7.7,4.17,5.94,4.8,,2.65,,,,3.41,11
39,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-09,,,,,5.49,4.15,6.83,4.82,5.89,4.95,,2.81,,,,,1
40,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-10,,,,,4.22,3.69,4.88,4.22,6.06,5.4,,,,,,,19
41,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-11,,,,,3.78,3.65,6.65,4.3,4.7,5.09,3.26,,,,,2.74,6
42,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-12,,,,,3.21,6.83,5.35,4.82,4.68,5.22,,,,,,3.21,4
43,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-13,,,,,3.11,,7.63,3.96,4.95,6.22,,3.25,,,,,5
44,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-14,,,,,3.98,,6.94,5.75,5.17,4.58,,,,,3.54,,5
45,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-15,,,,,3.32,4.84,7.61,4.71,7.06,6.37,,,,,,4.15,39
46,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-16,,,,,3.94,4.63,7.07,5.03,6.12,6.94,,3.81,,,,,20
47,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-17,,,2.99,,5.17,3.4,10.34,4.76,5.17,5.3,,,,,3.81,,17
48,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-18,,,3.54,,5.71,3.81,8.16,4.35,5.44,7.34,,,,,,,5
49,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-19,,,,,4.92,4.51,7.24,3.42,4.64,3.96,,,,,,3.42,5
50,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-20,,,,,,6.08,7.38,4.78,6.37,5.5,,,,,,,8
51,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-21,,,,,4.48,4.34,8.4,6.02,9.24,7.98,,,,,,,3
52,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-22,,,,,,5.35,9.17,5.22,5.47,4.07,,,,,,3.31,9
53,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-23,,,,,2.74,3.79,6.66,,5.75,4.31,,3.13,,,,,8
54,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-24,,,,,4.44,5.22,8.75,3.39,7.83,6.66,,3.26,,,,,3
55,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-25,,,,,2.73,4.54,6.1,,4.93,4.67,,,,,,,5
56,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-26,,,4.63,,3.31,4.77,7.81,,5.03,4.11,,,,,,,7
57,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-27,,,,,,4.87,6.39,,6.7,7.76,,,,,,,2
58,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-02-28,,,,,4.02,4.45,5.17,3.3,6.18,4.88,,,,,,,4
59,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-01,,,,,3.58,4.35,8.44,5.24,,2.81,,,,,,3.33,3
60,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-02,,,,,,,6.86,4.09,4.49,5.41,,3.17,,,,2.77,5
61,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-03,,,,,2.77,4.61,7.77,4.48,4.74,3.42,,,,,,,5
62,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-04,,,,,4.27,3.88,6.61,5.44,5.44,3.76,,,,,,,3
63,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-05,,,,,,4.17,5.65,,4.57,7.26,,4.03,,,,,8
64,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-06,,,,,,,6.13,5.69,6.86,4.96,,3.06,,,,3.5,0
65,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-07,,,3.4,,3.97,3.55,8.51,4.82,3.55,4.4,2.98,3.55,,,,3.26,2
66,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-08,,,4.71,,,5.62,5.88,4.31,5.1,5.1,,,,,,,0
67,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-09,,,,,4.13,3.86,4.26,4.0,4.66,2.93,,,,,,,1
68,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-10,,,,,4.17,4.69,8.34,3.65,5.21,4.17,,,,,,3.52,1
69,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-11,,,,,3.96,4.22,7.26,4.09,4.62,5.02,,,,,,,2
70,GB,United Kingdom,Rutland,GB-RUT,,,ChIJl4pDuIB4d0gRy_G7Ifl8M_0,2021-03-12,,,,,5.07,,6.67,4.41,5.47,4.67,,2.94,,,,3.74,3
