,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-01,,,1.37,,5.18,5.07,6.67,3.4,5.24,3.69,1.61,2.26,,,1.73,3.28,41
1,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-02,,,3.12,,4.59,3.63,6.29,4.59,4.48,4.25,,2.21,,,1.64,,70
2,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-03,,,2.28,,5.18,3.9,4.9,4.84,5.46,4.46,1.89,1.34,,1.89,2.0,1.34,56
3,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-04,,,2.66,,4.89,3.35,5.59,3.83,4.42,3.99,1.38,,1.44,1.44,1.81,2.66,49
4,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-05,,,1.53,,4.64,4.2,5.95,4.42,4.09,4.86,,1.58,1.25,,1.25,2.46,73
5,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-06,,,2.05,,3.88,4.52,5.98,4.2,4.47,3.66,,,,,1.67,1.45,48
6,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-07,,,2.52,,4.24,4.4,6.61,4.24,5.05,4.24,,2.15,1.18,1.45,2.1,2.26,27
7,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-08,,,2.4,,3.44,2.56,5.24,3.49,3.77,3.44,1.42,1.36,,1.15,,1.91,41
8,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-09,,,2.58,,3.96,3.85,5.57,4.02,4.31,4.6,1.84,2.36,,1.44,1.72,2.41,31
9,GB,United Kingdom,Scottish Borders,GB-SCB,,,ChIJ-WTiG7WGh0gR8LJCBhpoDAM,2021-01-10,,,2.12,,4.13,3.57,5.97,3.91,4.86,5.42,1.79,2.4,,,1.9,2.57,39
