,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-01,,,2.26,0.44,5.04,4.7,6.09,4.56,5.57,4.89,1.78,2.27,1.02,0.99,2.05,3.05,133
1,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-02,,,2.17,0.46,5.39,3.99,6.31,4.21,5.21,4.55,1.66,2.22,1.05,0.86,1.88,2.87,235
2,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-03,,,2.21,0.44,5.32,3.78,6.67,4.75,5.33,4.94,1.78,2.31,1.08,1.4,1.98,2.69,191
3,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-04,,,2.07,0.3,4.63,3.46,5.34,5.43,4.43,4.29,1.3,1.71,0.92,1.1,1.74,2.37,308
4,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-05,,,2.11,0.44,4.83,3.57,5.69,4.94,4.68,4.44,1.23,2.05,0.91,1.08,1.43,2.77,215
5,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-06,,,2.12,0.59,4.87,3.88,6.11,5.67,4.93,4.64,1.54,1.62,1.06,1.07,1.71,2.16,221
6,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-07,,,2.1,0.4,5.34,3.57,6.15,5.22,4.63,4.41,1.33,1.66,1.29,1.04,1.71,2.33,189
7,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-08,,,2.18,0.35,4.91,3.62,6.45,5.06,4.59,4.43,1.68,1.72,1.12,1.31,1.69,2.4,179
8,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-09,,,2.14,0.42,5.24,3.93,5.73,4.54,5.44,4.48,1.66,2.13,1.02,1.14,1.74,2.72,169
9,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-10,,,2.09,0.46,5.29,4.12,6.53,5.23,5.55,5.17,1.88,2.14,1.2,1.1,1.92,2.61,107
10,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-11,,,2.34,0.39,5.11,4.41,6.72,5.77,5.28,5.16,1.24,2.15,1.26,1.27,1.46,2.78,274
11,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-12,,,2.37,0.26,4.99,4.06,6.49,5.1,4.67,4.34,1.57,1.95,1.07,1.28,1.73,2.49,237
12,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-13,,,1.65,0.43,5.07,3.97,7.12,5.4,5.3,4.95,1.2,2.23,1.34,1.4,1.94,2.88,220
13,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-14,,,2.14,0.23,5.0,4.05,7.16,5.24,5.33,4.82,1.29,2.22,1.08,1.07,1.65,2.85,230
14,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-15,,,1.94,0.36,4.56,4.12,5.99,4.37,4.55,4.5,1.26,1.79,1.35,1.04,1.46,2.5,210
15,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-16,,,1.95,0.35,4.99,4.21,6.21,4.6,5.43,5.46,1.39,1.89,0.79,0.95,1.75,2.87,140
16,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-17,,,2.07,0.49,4.75,3.81,7.0,5.1,5.23,5.84,1.71,1.86,0.86,1.15,1.91,3.21,115
17,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-18,,,1.75,0.27,5.12,4.08,7.22,5.01,5.3,5.54,1.24,1.98,0.96,1.21,1.82,2.81,194
18,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-19,,,2.36,0.27,4.87,4.06,7.8,5.11,5.28,5.27,1.09,2.16,1.11,1.26,1.62,2.86,217
19,GB,United Kingdom,Shropshire,GB-SHR,,,ChIJLx3o1zdNZUgRIvHNaPOeniE,2021-01-20,,,2.1,0.25,4.66,4.14,6.3,4.71,4.84,4.95,1.35,2.06,1.03,1.09,2.02,2.26,182
