,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-01,,,1.99,,4.22,3.73,5.77,3.93,5.71,4.53,1.68,2.23,0.73,0.98,1.58,3.65,136
1,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-02,,,2.02,0.43,4.01,3.97,5.68,4.43,5.57,4.62,1.82,2.14,0.59,0.94,1.84,2.69,169
2,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-03,,,2.31,0.36,4.39,3.65,6.37,5.03,5.41,4.53,1.79,2.36,0.9,0.94,1.86,2.75,153
3,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-04,,,2.12,0.48,4.53,3.67,5.15,4.85,4.43,3.63,1.25,2.0,1.0,0.81,1.6,2.5,267
4,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-05,,,2.15,0.3,4.64,3.87,5.88,4.22,4.87,4.79,1.24,1.44,0.94,1.19,1.77,2.37,229
5,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-06,,,2.08,0.32,4.49,3.36,5.65,4.65,4.67,4.29,1.18,2.04,0.86,0.84,1.67,2.34,162
6,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-07,,,1.6,,4.14,3.23,5.83,4.33,4.52,4.26,1.25,1.82,0.76,1.02,1.99,2.33,173
7,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-08,,,1.86,,4.3,3.38,6.19,4.81,4.61,4.07,1.19,1.68,0.76,1.1,1.62,2.13,157
8,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-09,,,1.85,0.5,5.05,4.0,6.56,4.65,4.96,4.36,1.37,1.93,0.82,0.81,1.63,2.29,144
9,GB,United Kingdom,South Gloucestershire,GB-SGC,,,ChIJ1cbMfWqacUgRAKCZ1COLDQM,2021-01-10,,,1.67,0.39,4.23,3.82,6.78,5.08,4.94,4.41,1.81,2.11,0.54,0.97,1.84,2.65,131
