,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-01,,,2.72,,5.76,4.9,6.37,4.82,5.97,4.69,1.68,2.2,1.42,0.97,2.2,4.03,118
1,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-02,,,2.2,,5.86,4.02,6.67,5.16,5.18,4.95,1.82,2.78,1.26,0.78,2.15,3.11,257
2,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-03,,,2.31,,6.06,4.14,7.31,4.9,4.73,3.99,1.58,1.75,1.97,1.35,2.68,2.63,258
3,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-04,,,2.23,,5.88,3.83,5.95,5.39,4.88,4.52,1.56,2.14,1.47,1.34,1.72,2.36,286
4,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-05,,,2.38,,5.28,3.53,6.16,6.38,5.32,4.44,1.52,1.88,1.29,1.16,2.02,1.92,299
5,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-06,,,2.04,,6.04,4.02,6.2,5.5,4.61,4.76,1.64,2.0,1.62,1.08,1.77,3.15,202
6,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-07,,,1.77,,5.82,3.86,6.02,5.08,5.68,5.05,1.39,1.86,1.17,0.92,2.11,2.81,196
7,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-08,,,1.57,,4.82,3.48,6.07,5.3,4.84,4.25,2.18,2.09,1.43,1.5,1.55,3.21,193
8,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-09,,,1.98,,4.86,3.34,5.86,5.29,4.61,3.98,1.64,2.22,0.93,1.24,1.73,2.98,174
9,GB,United Kingdom,Southampton,GB-STH,,,ChIJtxiG86x2dEgR0J7toi2uDgM,2021-01-10,,,2.31,,5.23,3.93,5.81,5.42,5.91,4.7,1.76,2.27,1.4,0.63,2.39,3.09,173
