,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-01,,,2.81,,4.93,5.03,6.18,3.35,6.68,5.57,1.84,2.78,0.99,0.8,1.91,4.6,96
1,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-02,,,2.5,,5.27,4.44,6.62,3.46,5.5,4.81,1.81,2.34,1.47,1.01,1.49,2.89,176
2,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-03,,,2.07,,5.51,4.16,7.03,3.79,6.07,5.31,1.98,2.32,1.33,1.24,2.14,3.35,146
3,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-04,,,1.93,,5.0,4.17,5.75,4.63,5.5,4.79,1.68,1.91,1.35,1.18,2.01,3.05,214
4,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-05,,,1.8,,5.56,4.67,7.91,4.48,5.36,5.0,1.9,2.26,1.61,0.96,1.84,3.28,200
5,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-06,,,1.96,,5.55,3.91,6.33,4.97,5.35,5.49,1.44,1.91,1.52,1.27,1.91,3.12,177
6,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-07,,,2.19,,5.44,3.99,5.96,4.74,5.57,4.91,1.64,2.42,1.32,1.03,1.78,2.59,150
7,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-08,,,2.2,,4.51,4.36,7.27,3.82,6.09,5.4,1.83,1.99,1.52,1.35,2.2,2.76,121
8,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-09,,,2.43,,4.81,3.99,6.96,4.04,6.23,5.58,1.84,1.79,1.31,1.38,1.86,2.43,127
9,GB,United Kingdom,Stoke-on-Trent,GB-STE,,,ChIJLSYOtdtpekgRMKBv7Z75DAM,2021-01-10,,,2.5,,4.73,4.44,7.53,4.48,5.83,5.21,1.93,2.39,1.8,1.18,1.23,2.87,122
