,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-01,,,1.87,,4.65,4.89,6.65,4.76,6.1,4.73,2.52,2.63,1.47,0.63,1.79,3.71,93
1,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-02,,,2.14,,5.63,4.11,6.82,4.88,5.48,4.99,1.78,2.53,0.88,1.55,2.09,2.61,228
2,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-03,,,2.59,,5.32,4.68,6.97,5.8,5.93,5.75,1.7,2.24,1.15,0.86,2.67,2.8,197
3,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-04,,,1.83,,5.6,3.73,6.0,5.09,5.02,4.83,1.83,2.25,0.98,0.87,1.66,3.26,230
4,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-05,,,2.65,,5.98,4.11,6.62,5.83,5.81,5.79,1.51,1.91,0.98,1.48,1.96,2.39,178
5,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-06,,,2.03,,4.57,3.95,7.17,5.79,5.14,4.64,1.72,2.18,0.93,1.05,1.94,3.08,149
6,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-07,,,2.61,,5.44,4.22,6.42,5.8,5.06,4.87,1.51,2.21,1.05,1.29,2.13,2.33,147
7,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-08,,,2.56,,5.72,3.95,6.39,4.52,5.53,5.22,1.65,1.84,1.08,1.15,1.48,2.56,102
8,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-09,,,2.38,,5.38,4.17,7.35,4.79,6.17,5.33,2.12,2.28,1.2,1.02,1.87,2.33,112
9,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-10,,,2.43,,5.28,4.07,7.92,4.84,6.07,5.33,1.9,2.0,1.0,0.95,2.33,3.07,89
10,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-11,,,2.26,,5.11,4.2,7.16,5.25,5.6,5.06,1.77,2.29,0.96,1.26,1.73,3.03,143
11,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-12,,,2.68,,5.53,3.82,7.1,5.27,5.48,5.13,1.33,2.66,1.09,1.21,1.64,2.82,144
12,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-13,,,2.7,,5.09,3.96,8.2,5.69,5.31,5.16,1.49,2.61,1.04,1.37,1.52,2.72,92
13,GB,United Kingdom,Swindon,GB-SWD,,,ChIJaX2llQdGcUgRIKCZ1COLDQM,2021-01-14,,,2.62,,5.52,4.77,7.2,4.86,5.17,5.03,1.53,2.53,1.27,1.25,1.6,3.0,96
