,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-01,,,2.31,,4.46,4.29,5.51,4.42,5.22,4.76,1.77,1.68,,,0.88,2.48,9
1,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-02,,,2.28,,5.16,3.89,6.51,4.14,5.32,4.52,1.69,2.28,,0.97,2.41,2.75,33
2,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-03,,,2.3,,4.77,3.39,6.61,3.81,4.98,4.85,1.88,2.09,,,1.76,2.63,33
3,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-04,,,2.49,,4.2,3.46,5.4,3.69,4.43,4.7,1.21,2.72,0.85,1.4,1.79,2.64,85
4,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-05,,,1.18,,4.72,3.98,5.91,4.17,4.57,4.25,1.42,1.93,0.87,,1.18,2.32,46
5,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-06,,,1.63,,5.44,3.57,6.06,4.62,4.7,5.28,1.71,1.94,1.09,1.13,1.55,2.45,46
6,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-07,,,2.0,,5.47,3.68,6.14,3.83,4.07,3.68,1.02,1.33,1.13,,1.96,2.19,61
7,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-08,,,1.78,,4.04,3.34,6.59,3.84,4.31,4.19,1.01,1.63,0.93,1.01,1.63,2.44,43
8,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-09,,,1.84,,4.83,3.19,5.61,4.13,4.67,4.79,1.23,2.29,,1.27,1.51,2.09,40
9,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-10,,,2.04,,5.4,4.78,7.14,4.15,5.19,4.74,1.37,1.66,1.16,,2.04,2.37,31
10,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-11,,,2.02,,4.72,3.96,6.74,5.17,4.64,4.76,1.79,1.6,1.14,1.56,1.37,2.4,86
11,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-12,,,2.13,,4.46,4.5,5.51,6.09,5.0,5.04,0.97,2.64,,1.4,1.75,2.71,56
12,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-13,,,2.52,,3.92,4.54,7.26,4.08,5.09,5.2,0.89,1.75,1.48,0.85,1.36,2.76,46
13,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-14,,,2.25,,4.73,3.56,6.24,4.57,5.46,5.0,1.05,1.47,1.16,1.82,1.43,2.83,33
14,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-15,,,1.95,,3.71,2.97,5.98,4.26,4.8,3.98,1.45,1.45,,1.29,1.33,2.46,46
15,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-16,,,2.16,,5.08,3.75,6.53,4.16,5.83,5.66,1.46,1.96,1.87,,2.79,3.12,31
16,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-17,,,2.04,,3.7,4.53,6.48,4.32,5.4,6.15,1.54,1.75,0.96,1.45,2.08,3.7,22
17,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-18,,,2.36,,4.5,3.7,7.93,4.42,4.92,6.06,1.45,2.06,1.03,,1.41,2.25,59
18,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-19,,,2.63,,3.56,4.53,7.5,3.83,5.84,5.53,1.74,2.2,,1.24,1.43,2.98,40
19,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-20,,,2.31,,4.89,3.79,7.59,3.79,5.35,5.58,1.48,2.12,1.1,1.21,1.97,2.54,39
20,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-21,,,2.35,,3.57,3.96,6.63,5.06,4.9,4.71,1.45,1.84,0.86,1.29,2.12,2.82,21
21,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-22,,,2.28,,3.5,4.52,6.72,5.5,5.19,5.3,1.57,1.89,0.98,1.06,1.34,2.4,26
22,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-23,,,1.25,,3.47,3.63,6.35,4.76,4.51,4.39,1.34,1.63,,,1.34,2.88,11
23,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-24,,,2.31,,4.21,4.33,5.9,4.12,4.95,4.99,1.57,2.76,0.95,1.15,1.77,2.8,32
24,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-25,,,1.95,,3.28,4.06,6.33,4.61,5.39,5.47,1.29,1.95,1.68,1.13,1.45,2.07,36
25,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-26,,,1.97,,4.37,4.56,6.42,4.71,4.95,5.06,1.2,2.98,1.74,1.82,1.74,2.44,40
26,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-27,,,2.55,,4.02,4.06,6.26,4.02,5.03,4.91,1.16,1.89,1.28,1.35,1.28,2.71,33
27,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-28,,,2.19,,4.47,4.85,7.08,4.2,5.16,5.66,1.39,1.23,0.81,1.16,1.27,2.35,37
28,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-29,,,2.04,,3.77,3.65,6.24,3.57,4.55,5.46,0.98,1.65,,0.94,1.53,2.4,55
29,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-30,,,2.15,,3.44,3.84,5.79,3.12,5.38,4.78,0.93,1.86,,,1.82,2.99,20
30,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-01-31,,,1.37,,4.91,3.62,6.61,2.98,4.79,4.63,1.17,2.17,1.73,1.01,1.53,2.38,19
31,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-01,,,2.92,,4.66,4.12,6.85,3.81,4.93,4.04,1.35,2.12,1.54,0.92,1.85,2.73,44
32,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-02,,,2.84,,4.49,4.46,7.64,3.15,6.18,6.07,1.07,1.84,2.69,1.69,1.88,3.15,36
33,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-03,,,1.82,,3.83,4.43,7.47,4.27,4.82,5.26,1.03,1.9,1.42,1.42,1.94,2.57,16
34,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-04,,,1.89,,4.2,4.62,6.0,3.46,5.08,5.54,1.23,1.85,1.27,1.58,1.73,1.73,22
35,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-05,,,1.43,,4.28,4.17,6.03,3.93,5.47,4.88,,2.3,1.43,1.11,1.51,1.98,28
36,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-06,,,1.92,,3.47,3.47,5.14,3.05,5.77,4.89,0.92,1.8,1.0,0.88,1.38,2.76,13
37,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-07,,,2.25,,3.62,3.83,6.53,2.71,4.5,4.79,1.54,2.25,,1.5,1.79,2.33,13
38,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-08,,,2.44,,3.63,5.34,6.61,3.02,4.91,4.64,0.93,2.17,1.51,1.16,1.12,2.01,16
39,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-09,,,2.37,,4.31,4.7,7.11,2.99,5.25,4.78,,2.06,1.4,1.13,1.63,3.15,22
40,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-10,,,1.45,,3.6,4.38,6.29,3.36,4.96,4.34,0.9,2.11,0.9,0.86,1.84,3.05,28
41,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-11,,,2.07,,3.91,4.26,6.84,4.1,4.61,5.63,,1.56,1.41,,1.92,3.13,17
42,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-12,,,2.49,,3.97,3.77,6.58,3.69,5.01,4.57,1.12,2.12,,1.08,1.56,2.69,10
43,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-13,,,2.26,,4.01,3.68,5.35,3.51,4.8,4.64,1.8,2.38,,0.88,1.67,2.55,13
44,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-14,,,2.32,,3.2,4.17,5.6,2.53,5.6,5.01,1.05,1.22,0.97,,2.02,2.65,16
45,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-15,,,3.28,,4.4,4.24,7.18,3.94,6.68,5.4,1.37,2.82,1.41,1.83,1.79,3.2,14
46,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-16,,,1.89,,4.6,4.6,7.96,3.86,5.25,5.13,1.11,2.42,0.86,1.03,1.15,3.41,10
47,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-17,,,2.56,,4.22,4.71,7.72,3.74,5.32,6.05,1.06,2.11,1.14,,1.46,3.13,22
48,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-18,,,2.31,,4.23,4.61,7.04,3.9,5.32,4.86,0.88,2.26,0.88,1.09,1.59,3.27,18
49,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-19,,,2.89,,3.71,3.79,6.48,3.22,5.5,5.79,,2.85,,1.22,1.63,2.49,19
50,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-20,,,2.36,,3.35,3.98,6.75,2.94,5.8,4.56,1.08,1.82,,0.99,1.74,2.24,19
51,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-21,,,2.59,,3.67,4.09,7.13,3.67,5.51,4.26,,1.75,0.92,1.21,1.13,3.0,11
52,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-22,,,2.63,,4.13,4.76,7.15,2.95,5.15,4.48,1.81,2.28,0.94,1.26,0.9,3.22,13
53,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-23,,,2.21,,4.38,3.49,7.56,3.26,5.43,6.63,0.89,1.71,0.93,1.09,1.24,2.71,12
54,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-24,,,2.32,,3.09,4.06,7.11,3.67,6.34,5.37,,1.74,1.08,1.43,1.47,2.67,6
55,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-25,,,2.24,,4.01,3.31,6.73,2.87,4.8,4.96,0.87,2.32,0.94,1.57,1.89,2.48,7
56,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-26,,,1.3,,2.53,2.89,5.87,2.81,4.52,4.48,0.98,1.87,1.14,,1.02,2.77,1
57,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-27,,,1.93,,3.38,2.77,5.84,3.16,6.2,5.62,0.97,1.45,,,1.32,2.46,4
58,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-02-28,,,2.63,,3.06,3.71,6.59,2.97,4.96,4.31,1.34,1.98,1.34,0.95,1.51,2.2,3
59,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-01,,,2.21,,3.62,3.86,5.87,2.83,4.96,4.61,1.1,2.36,,,0.87,2.52,7
60,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-02,,,1.78,,3.91,4.26,6.83,3.51,4.89,5.09,1.1,1.38,,,1.18,2.05,4
61,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-03,,,2.13,,3.56,4.6,6.22,3.05,3.83,4.1,,1.78,0.85,1.24,1.08,3.02,10
62,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-04,,,1.55,,2.98,3.65,7.31,4.05,4.49,4.45,0.83,1.55,1.03,0.91,1.35,2.34,10
63,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-05,,,2.08,,3.18,3.71,6.28,3.79,5.09,4.61,1.34,1.79,,1.1,1.14,2.77,8
64,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-06,,,2.1,,2.83,4.46,5.57,3.0,4.84,4.97,1.5,1.5,,0.99,,2.1,7
65,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-07,,,1.72,,4.55,3.48,6.91,2.62,4.55,5.53,1.8,1.67,,0.94,1.29,2.57,7
66,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-08,,,2.22,,3.94,3.38,6.54,2.99,5.13,4.36,1.45,2.44,,1.03,0.94,2.65,3
67,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-09,,,1.65,,2.92,4.14,6.34,3.43,4.61,5.03,1.23,1.18,,1.1,1.06,2.45,2
68,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-10,,,1.76,,3.77,3.49,6.61,3.37,4.85,5.73,1.32,2.0,,1.64,0.88,3.29,2
69,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-11,,,1.83,,3.46,4.81,5.95,3.14,4.85,4.73,1.1,2.81,1.02,1.14,1.47,2.49,6
70,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-12,,,2.15,,3.51,3.76,5.95,2.89,5.37,4.75,1.45,1.98,0.87,0.87,1.36,2.89,7
71,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-13,,,1.91,,2.8,3.65,6.88,3.01,5.26,5.52,1.74,2.46,,1.1,1.53,2.89,0
72,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-14,,,1.75,,2.76,4.56,6.88,2.8,6.27,5.26,1.05,1.88,1.31,,0.92,3.37,6
73,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-15,,,1.86,,3.81,4.43,7.41,4.02,5.59,5.34,1.24,2.82,1.08,1.12,1.37,2.36,7
74,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-16,,,1.3,,3.35,3.44,6.91,3.69,4.9,5.45,1.68,1.76,,,1.34,1.89,6
75,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-17,,,1.56,,4.04,4.25,6.78,4.09,5.18,5.56,1.56,2.4,,1.18,1.05,2.65,7
76,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-18,,,1.96,,4.13,4.13,6.0,3.59,6.38,5.59,1.08,1.79,0.96,1.0,1.21,2.79,6
77,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-19,,,1.83,,3.21,4.09,7.13,3.5,4.21,5.21,1.79,2.04,,1.25,2.5,3.0,2
78,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-20,,,1.66,,4.42,3.23,8.71,3.27,5.31,4.97,,1.87,,,1.61,2.76,2
79,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-21,,,2.31,,3.49,4.2,6.34,3.36,4.75,4.45,1.3,1.72,,,1.51,3.07,0
80,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-22,,,1.77,,4.0,3.41,7.87,3.37,4.5,5.26,1.01,1.73,1.14,0.97,1.26,2.65,9
81,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-23,,,2.12,,4.73,4.07,7.93,3.73,5.23,5.39,1.04,2.37,1.0,1.16,1.37,2.9,1
82,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-24,,,2.19,,4.34,3.93,7.28,3.06,5.92,5.09,0.87,2.07,1.28,0.99,2.48,2.4,2
83,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-25,,,2.02,,4.29,3.21,7.75,3.46,4.86,5.81,1.03,2.06,1.03,1.11,1.69,3.3,6
84,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-26,,,1.65,,3.09,4.04,6.84,2.76,4.62,4.7,2.02,1.98,,,1.98,2.97,0
85,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-27,,,1.83,,3.32,4.17,6.65,2.68,5.11,4.86,1.83,2.04,1.53,1.02,1.45,3.28,2
86,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-28,,,2.09,,4.31,3.72,7.32,2.59,4.94,4.89,1.51,2.26,0.88,1.17,1.67,2.43,9
87,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-29,,,2.07,,4.22,4.18,7.02,3.4,5.51,5.38,1.59,1.81,1.16,,1.85,2.75,2
88,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-30,,,1.9,,4.28,3.46,6.0,3.63,5.31,4.84,1.51,1.73,,1.25,1.86,2.51,1
89,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-03-31,,,2.5,,4.32,4.07,7.11,3.39,4.95,4.74,,2.33,1.1,1.35,1.48,2.67,1
90,GB,United Kingdom,Torbay,GB-TOB,,,ChIJ1yHi6BYQbUgRgJ7toi2uDgM,2021-04-01,,,1.99,,4.59,3.2,6.45,3.25,4.63,4.72,,2.04,1.0,1.51,2.55,3.16,1
