,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-01,,,1.41,,4.62,4.38,7.88,4.9,5.55,4.94,2.13,2.69,1.04,1.12,1.89,3.17,48
1,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-02,,,2.08,,4.48,3.38,6.57,4.01,5.07,4.48,1.57,2.6,,,1.85,3.15,83
2,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-03,,,2.52,,5.48,4.22,4.81,5.01,5.84,4.85,1.34,2.25,1.54,1.1,1.42,2.17,82
3,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-04,,,1.88,,5.31,4.1,5.94,4.91,5.68,5.5,1.55,2.07,1.18,0.96,1.66,2.44,114
4,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-05,,,3.05,,4.93,3.8,6.06,3.42,6.13,4.97,1.32,2.45,1.24,1.02,1.39,2.82,87
5,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-06,,,2.01,,4.16,3.07,6.5,3.83,5.73,4.78,1.53,2.63,1.35,1.21,1.28,2.74,81
6,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-07,,,1.66,,4.49,3.28,6.0,3.68,5.23,5.53,2.14,1.66,1.14,0.81,2.17,1.77,57
7,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-08,,,2.2,,3.75,3.38,6.35,3.71,4.96,4.44,1.21,1.5,0.81,1.06,1.5,2.5,70
8,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-09,,,2.37,,4.38,3.55,6.19,3.43,5.48,5.01,2.41,2.29,0.95,1.14,1.46,2.68,49
9,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-10,,,1.64,,4.01,3.78,7.52,4.25,5.22,5.5,1.52,1.99,,1.13,1.36,2.61,48
10,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-11,,,1.66,,4.67,4.21,7.15,3.82,5.38,4.6,1.17,2.09,1.24,1.06,1.34,2.19,70
11,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-12,,,1.95,,4.33,3.97,6.32,2.93,4.7,4.48,1.45,2.35,0.94,1.62,1.3,3.11,70
12,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-13,,,2.21,,3.88,4.09,7.08,5.23,5.3,5.09,1.0,1.32,1.32,1.42,1.71,1.92,69
13,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-14,,,1.79,,4.28,3.22,6.65,4.24,5.16,4.79,1.46,2.38,1.46,1.32,1.5,3.22,61
14,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-15,,,1.58,,3.28,3.8,6.96,3.69,4.83,4.83,1.33,1.29,0.88,,1.55,2.21,57
15,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-16,,,1.8,,3.53,3.96,6.55,4.27,5.96,5.37,1.45,2.55,1.25,,1.45,3.45,40
16,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-17,,,1.6,,3.91,3.79,7.51,4.69,5.28,5.87,1.76,2.38,,1.13,,2.89,24
17,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-18,,,2.49,,3.39,3.94,7.94,4.37,5.02,4.4,1.05,2.67,,1.23,1.16,3.21,36
18,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-19,,,2.2,,3.71,3.28,7.32,4.44,5.3,5.01,1.19,2.38,0.76,,1.01,2.2,39
19,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-20,,,1.38,,3.23,4.05,6.67,4.05,4.54,4.47,1.35,2.95,1.17,1.1,1.06,2.31,31
20,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-21,,,2.53,,4.34,3.98,7.24,4.56,5.14,4.81,0.98,1.81,0.87,1.95,1.67,2.86,36
21,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-22,,,2.46,,3.82,4.26,6.5,4.45,4.74,4.67,1.43,2.61,1.29,0.92,1.95,3.05,41
22,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-23,,,2.46,,3.29,3.93,6.51,4.4,5.04,4.44,,2.1,1.19,1.47,1.75,2.74,16
23,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-24,,,2.16,,4.44,3.7,6.57,3.11,4.8,4.6,1.57,2.71,,1.06,2.01,2.67,22
24,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-25,,,1.56,,3.56,4.07,6.07,3.85,5.3,5.48,1.13,2.21,1.09,1.16,1.82,2.29,27
25,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-26,,,1.69,,4.27,3.73,7.21,3.98,5.85,4.95,1.58,2.69,0.9,1.18,1.58,2.44,17
26,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-27,,,1.68,,3.37,4.69,6.88,4.01,4.33,4.8,1.11,1.54,0.9,,0.82,2.9,22
27,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-28,,,2.32,,3.28,3.32,6.46,3.25,5.18,4.57,1.43,2.21,1.03,0.89,1.18,2.46,32
28,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-29,,,1.64,,3.31,3.53,5.42,3.6,4.15,4.47,1.38,1.53,0.8,1.09,1.67,2.51,29
29,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-30,,,2.23,,3.47,3.35,5.47,3.0,4.43,3.54,0.81,2.19,,1.08,1.31,2.81,19
30,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-01-31,,,2.04,,3.81,3.85,6.55,3.04,4.66,4.93,1.08,1.89,1.62,1.58,2.23,2.23,12
31,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-01,,,1.78,,4.06,3.81,7.33,3.27,4.62,4.16,1.0,2.46,1.64,1.49,1.07,2.85,16
32,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-02,,,1.65,,4.58,4.26,6.3,4.26,5.76,4.37,0.75,2.54,2.25,1.07,1.47,2.76,15
33,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-03,,,1.38,,4.0,3.63,7.67,3.6,4.8,4.54,1.34,1.96,1.42,1.42,1.38,1.85,54
34,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-04,,,1.95,,3.43,4.26,5.88,4.18,5.09,4.65,0.94,1.8,,1.26,1.33,2.63,15
35,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-05,,,2.02,,3.16,4.26,7.13,3.82,3.71,3.78,0.81,2.31,0.77,0.99,1.18,2.5,20
36,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-06,,,1.85,,3.19,3.78,5.32,2.99,5.2,4.96,1.54,2.76,,,1.93,2.96,11
37,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-07,,,2.07,,3.74,4.1,6.88,3.06,5.13,4.33,2.15,1.31,1.11,1.07,1.19,2.9,5
38,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-08,,,1.44,,4.04,4.11,6.89,3.5,4.69,4.33,1.08,1.73,0.76,0.79,1.88,2.2,21
39,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-09,,,1.61,,4.24,4.28,5.78,3.88,5.16,4.54,1.86,1.54,0.77,,1.57,2.34,14
40,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-10,,,1.81,,2.88,3.54,6.86,3.17,5.38,3.76,1.36,2.17,0.77,1.11,1.73,2.29,23
41,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-11,,,1.76,,3.48,4.07,6.15,3.52,4.25,4.54,0.88,2.23,0.84,0.77,1.69,2.56,22
42,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-12,,,2.34,,3.58,3.09,5.62,3.06,4.11,4.0,1.09,1.81,1.09,,0.91,2.34,13
43,GB,United Kingdom,Vale of Glamorgan,GB-VGL,,,ChIJ2wmwV-gNbkgREKKZ1COLDQM,2021-02-13,,,2.05,,4.05,3.69,5.7,3.13,4.09,4.05,1.36,2.25,,0.96,1.56,2.57,17
