,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-01,,,2.27,,5.3,4.26,7.05,4.01,4.91,4.08,1.79,2.04,1.15,1.07,2.19,3.61,119
1,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-02,,,2.66,,5.32,4.27,5.41,4.68,6.02,4.88,1.68,1.98,1.12,1.22,2.37,3.22,310
2,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-03,,,2.43,,5.57,4.62,6.72,4.58,4.6,4.67,2.17,2.14,1.46,1.39,1.61,2.14,237
3,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-04,,,2.46,,4.61,4.26,5.78,4.99,4.52,5.14,1.56,2.04,1.69,1.1,1.56,2.68,299
4,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-05,,,2.17,,4.84,3.76,5.9,4.95,5.28,4.78,1.64,2.28,1.3,0.91,2.03,2.74,267
5,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-06,,,2.44,,5.54,4.72,5.91,5.25,5.01,4.79,1.52,2.55,1.01,1.21,1.74,2.64,206
6,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-07,,,1.76,,5.38,3.49,6.37,5.27,4.83,5.05,1.36,1.89,1.47,0.97,1.76,2.94,214
7,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-08,,,2.06,,4.71,3.91,6.1,4.84,5.02,5.72,1.48,1.81,0.97,0.57,1.44,2.76,179
8,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-09,,,2.09,,5.44,5.25,6.63,5.3,4.79,5.13,1.22,2.07,0.97,1.09,1.77,3.26,175
9,GB,United Kingdom,Warrington,GB-WRT,,,ChIJMWQmW4MBe0gRYKBv7Z75DAM,2021-01-10,,,1.71,,5.18,5.33,6.6,4.55,5.98,5.37,1.78,1.93,1.23,1.23,1.37,2.79,166
