,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-01,,,2.76,,5.4,3.76,6.63,5.03,6.85,5.18,1.15,2.9,0.89,,1.9,4.02,57
1,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-02,,,2.43,,6.17,3.52,5.8,5.04,6.53,4.86,2.61,2.29,1.67,1.31,2.25,2.94,105
2,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-03,,,2.66,,5.39,5.17,7.51,5.96,5.5,5.35,2.05,2.41,1.36,1.4,2.41,3.27,78
3,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-04,,,1.37,,4.67,3.5,6.21,5.2,4.64,4.51,1.37,1.99,1.08,0.92,1.57,2.06,103
4,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-05,,,2.63,,5.2,4.44,5.46,5.46,5.29,5.13,1.81,2.27,1.22,1.51,1.81,3.25,70
5,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-06,,,2.07,,5.1,4.18,6.42,6.32,5.1,5.23,1.12,2.73,1.19,1.35,1.81,2.63,60
6,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-07,,,1.32,,4.71,4.21,6.05,5.76,4.87,4.54,1.48,1.88,0.89,0.76,1.19,3.65,70
7,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-08,,,2.12,,5.6,3.65,6.3,4.87,5.34,4.21,1.49,1.92,1.19,0.83,2.15,2.35,75
8,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-09,,,2.13,,4.98,4.19,6.39,4.48,5.2,4.73,1.8,2.2,0.97,1.16,1.8,2.56,72
9,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-10,,,2.51,,4.41,4.48,8.45,4.8,5.3,4.44,1.36,2.4,1.43,0.79,1.93,3.15,48
10,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-11,,,1.91,,5.62,4.68,7.4,4.75,5.75,4.39,1.74,2.45,0.97,1.13,1.65,2.84,101
11,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-12,,,1.8,,3.99,4.29,7.3,5.66,5.79,5.5,1.64,2.19,1.11,1.83,1.6,2.55,83
12,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-13,,,2.34,,4.62,3.25,6.61,6.02,5.6,5.01,1.5,2.05,1.2,1.2,1.85,2.05,76
13,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-14,,,1.76,,4.06,3.96,7.12,5.62,4.79,4.44,1.53,1.66,1.02,1.05,1.6,3.16,56
14,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-15,,,1.97,,5.06,3.7,5.89,4.93,5.33,4.83,1.5,1.13,1.2,0.93,1.86,2.76,64
15,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-16,,,1.7,,4.8,4.41,6.79,6.07,6.5,6.25,1.7,2.17,,1.19,1.99,4.26,43
16,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-17,,,1.63,,5.16,4.54,6.86,4.76,6.28,5.7,1.74,2.87,,1.02,1.74,2.79,47
17,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-18,,,2.64,,4.73,3.91,8.28,5.28,5.18,4.69,1.04,1.89,1.08,1.24,1.14,2.67,79
18,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-19,,,2.42,,4.87,4.67,7.22,5.58,5.55,5.75,1.7,2.19,0.75,1.18,1.4,2.81,65
19,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-20,,,2.03,,4.1,4.39,7.33,4.68,5.75,5.04,0.94,2.0,1.19,1.55,1.65,3.36,78
20,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-21,,,1.77,,4.43,4.3,7.43,4.74,5.13,4.8,1.27,2.23,1.03,2.13,2.2,2.43,64
21,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-22,,,1.72,,3.98,4.96,6.68,5.36,4.79,4.82,1.72,2.12,0.81,1.52,1.69,2.6,46
22,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-23,,,2.45,,4.24,4.61,5.89,4.83,5.01,5.05,1.5,2.19,0.84,,1.68,2.56,43
23,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-24,,,2.45,,4.49,4.71,6.98,4.08,6.61,5.53,1.15,2.67,1.15,0.89,2.34,3.19,25
24,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-25,,,2.18,,4.23,4.19,6.31,3.83,5.55,5.94,1.29,2.61,1.09,1.12,1.82,2.58,66
25,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-26,,,2.27,,4.37,5.09,7.29,6.04,4.73,4.79,1.41,2.1,1.08,1.18,2.5,2.99,34
26,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-27,,,2.19,,4.64,5.09,7.02,4.12,5.36,5.42,1.21,1.6,1.18,1.18,1.47,2.94,40
27,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-28,,,1.38,,4.36,4.62,6.98,5.28,5.31,5.67,1.11,2.26,0.79,1.15,1.83,3.34,52
28,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-29,,,1.83,,3.69,4.49,6.82,5.09,4.53,5.09,1.63,1.83,,0.83,1.26,2.6,41
29,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-30,,,1.83,,4.44,4.26,5.62,4.19,6.76,5.16,1.32,1.83,0.79,0.75,2.22,2.83,26
30,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-01-31,,,2.25,,4.61,4.72,6.47,4.72,6.0,5.57,1.11,2.21,2.07,1.11,1.75,2.86,20
31,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-01,,,1.85,,5.03,4.25,7.3,4.45,5.65,4.19,1.66,2.53,1.36,1.01,2.04,2.79,45
32,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-02,,,2.2,,5.15,4.46,7.71,3.81,4.99,4.92,1.57,1.97,2.56,1.08,1.54,2.59,43
33,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-03,,,1.59,,4.22,4.52,6.55,4.35,5.88,5.58,1.13,2.26,1.43,0.9,1.56,2.66,46
34,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-04,,,1.53,,4.86,4.05,7.18,4.31,5.65,5.19,0.82,2.09,1.31,1.27,1.99,3.04,47
35,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-05,,,1.97,,4.34,4.84,5.94,4.27,5.0,4.57,0.8,1.37,0.93,0.9,1.3,2.9,31
36,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-06,,,1.21,,3.38,4.41,6.39,3.6,5.43,5.1,1.43,1.91,,0.99,1.21,2.64,18
37,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-07,,,1.83,,3.67,3.27,7.3,3.77,5.75,4.96,1.55,1.83,0.86,,0.97,2.62,19
38,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-08,,,1.72,,3.66,4.22,6.53,4.32,5.41,4.91,1.25,2.57,0.86,1.09,1.55,3.2,32
39,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-09,,,1.67,,4.38,4.54,5.48,5.71,5.41,5.74,,1.87,,0.83,1.9,2.0,22
40,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-10,,,1.54,,3.59,4.36,8.14,4.79,5.03,4.36,1.24,2.08,0.84,,1.54,2.98,31
41,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-11,,,1.75,,4.47,3.43,6.39,4.64,5.28,5.21,1.11,1.88,0.97,1.24,1.41,2.62,20
42,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-12,,,1.9,,4.14,3.34,6.58,4.48,4.38,4.52,1.14,2.41,,,1.59,3.07,24
43,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-13,,,1.57,,3.69,3.99,6.3,3.99,6.26,5.0,1.38,1.75,0.82,1.3,1.27,2.35,11
44,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-14,,,1.45,,4.06,3.98,6.0,4.1,5.1,4.51,1.53,1.86,0.97,0.82,1.45,3.24,19
45,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-15,,,1.92,,3.8,5.02,7.91,3.9,5.44,6.76,0.84,2.23,1.25,1.29,1.11,2.79,33
46,GB,United Kingdom,West Berkshire,GB-WBK,,,ChIJ6fK_v7WldkgR4J7toi2uDgM,2021-02-16,,,1.66,,5.15,4.29,8.09,4.25,5.53,4.77,1.73,1.87,1.07,0.8,1.59,2.63,21
