,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-01,,,2.39,0.37,4.89,4.26,6.84,4.62,6.15,4.92,1.85,2.66,1.06,0.9,1.7,3.47,132
1,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-02,,,2.43,0.48,4.85,3.74,6.61,5.23,5.34,5.0,1.4,1.9,0.87,0.95,1.83,3.11,305
2,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-03,,,2.26,0.4,5.05,3.93,6.96,5.51,5.46,4.73,1.6,2.25,1.08,0.99,1.87,3.32,240
3,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-04,,,1.81,0.37,4.7,3.89,6.1,5.19,4.95,4.6,1.5,2.02,0.93,1.07,1.99,2.61,349
4,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-05,,,2.0,0.33,5.41,4.0,6.33,5.15,5.73,4.92,1.28,1.76,1.05,1.23,2.26,2.42,346
5,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-06,,,2.13,0.4,4.37,3.81,6.25,5.75,4.83,4.67,1.43,2.2,1.06,1.03,1.89,2.73,243
6,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-07,,,2.15,0.48,4.92,3.49,6.2,4.94,4.84,4.7,1.36,1.63,1.21,1.25,1.59,2.5,235
7,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-08,,,1.88,0.49,4.85,4.03,6.5,5.38,5.17,4.76,1.11,1.81,1.08,1.16,1.86,2.54,225
8,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-09,,,1.86,0.28,5.29,3.62,6.48,5.19,5.36,4.86,1.76,1.94,1.25,0.96,1.9,2.58,250
9,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-10,,,2.26,0.4,5.04,3.98,6.98,5.18,5.86,5.1,1.59,2.03,0.97,1.02,1.73,2.43,204
10,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-11,,,2.49,0.28,4.89,4.22,7.66,5.85,5.11,4.97,1.33,1.97,1.05,1.45,1.94,2.59,341
11,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-12,,,2.09,0.41,4.89,3.88,6.72,5.58,5.27,4.5,1.45,2.18,1.27,1.46,1.86,2.75,288
12,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-13,,,1.72,0.5,4.52,4.11,7.83,5.8,5.59,5.27,1.69,2.1,1.05,1.19,1.65,2.32,244
13,GB,United Kingdom,Wiltshire,GB-WIL,,,ChIJKcgiicI3cUgRNJe9kfg0iGQ,2021-01-14,,,2.01,0.24,4.55,3.9,7.62,5.21,5.06,4.81,1.13,2.11,0.76,1.18,2.11,3.23,223
