,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-01,,,2.13,,5.86,4.51,6.29,4.31,6.06,4.83,2.16,1.83,0.93,1.11,1.92,3.29,97
1,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-02,,,2.2,,5.8,4.06,6.91,4.83,5.71,4.97,1.74,2.03,1.26,0.91,2.11,2.51,137
2,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-03,,,2.37,,6.25,4.1,7.0,4.71,5.47,4.46,2.48,1.7,1.09,1.45,1.81,2.73,126
3,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-04,,,1.73,,4.92,3.67,6.4,5.84,4.31,4.38,1.68,2.17,1.27,1.02,2.24,2.68,203
4,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-05,,,1.9,,4.86,4.15,5.53,5.17,5.89,5.4,1.58,1.95,1.45,1.04,1.84,2.65,141
5,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-06,,,1.84,,4.43,3.52,6.5,6.53,4.95,4.92,1.19,1.4,1.09,1.14,1.48,2.56,113
6,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-07,,,1.85,,4.8,3.4,6.63,5.72,4.83,4.15,1.8,2.25,0.97,0.81,2.01,2.61,122
7,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-08,,,1.96,,4.8,3.82,6.22,5.01,4.37,3.98,1.32,2.09,1.37,1.16,1.68,2.4,105
8,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-09,,,2.03,,5.47,3.98,5.75,5.13,5.3,5.33,1.52,1.61,1.52,0.62,1.41,1.5,81
9,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-10,,,2.15,,4.77,4.72,6.56,4.69,5.54,4.16,1.9,1.74,0.85,1.32,1.27,2.56,70
10,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-11,,,2.14,,4.99,4.18,6.9,5.31,5.16,4.38,1.41,2.39,1.46,1.26,1.54,2.49,105
11,GB,United Kingdom,Wokingham,GB-WOK,,,ChIJydxwpfeEdkgREJ_toi2uDgM,2021-01-12,,,2.32,,4.59,4.02,6.52,4.9,5.13,5.36,1.99,2.22,1.11,1.42,1.91,2.55,99
