,country_region_code,country_region,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,place_id,date,symptom:Ageusia,symptom:Anosmia,symptom:Chest pain,symptom:Chills,symptom:Cough,symptom:Diarrhea,symptom:Fatigue,symptom:Fever,symptom:Headache,symptom:Migraine,symptom:Nasal congestion,symptom:Nausea,symptom:Pneumonia,symptom:Shortness of breath,symptom:Sore throat,symptom:Vomiting,newCasesBySpecimenDate
0,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-01,,,2.21,,5.07,4.31,7.36,4.83,5.7,4.55,1.79,2.37,0.58,1.39,1.79,3.65,102
1,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-02,,,2.48,,5.15,3.76,6.22,4.28,4.81,4.38,1.07,1.77,1.13,1.46,1.56,2.82,179
2,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-03,,,1.79,,4.46,3.45,7.03,4.96,5.29,4.91,1.56,2.19,1.24,1.16,1.51,2.87,221
3,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-04,,,1.88,,4.29,3.46,5.99,4.79,5.02,4.54,0.88,1.97,1.04,1.18,1.2,2.51,245
4,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-05,,,2.12,,4.6,3.34,6.25,4.6,5.08,5.03,1.29,1.67,0.99,1.2,1.83,2.57,208
5,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-06,,,1.96,,4.95,3.85,5.87,4.41,5.04,4.95,1.42,1.73,1.19,1.01,2.0,2.45,209
6,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-07,,,1.79,,4.38,3.69,6.13,4.12,4.63,5.03,1.16,2.55,1.27,0.94,1.61,3.09,179
7,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-08,,,1.74,,4.51,3.77,5.91,4.69,5.08,4.78,1.42,1.99,1.15,1.8,1.69,1.96,172
8,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-09,,,2.14,,4.58,3.43,5.67,4.73,5.2,5.05,1.48,1.95,0.96,1.13,1.6,2.59,151
9,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-10,,,1.6,,4.86,4.35,7.87,4.88,4.95,4.47,1.94,2.19,1.07,1.24,1.89,3.04,108
10,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-11,,,1.91,,4.71,3.77,6.94,5.21,4.95,4.45,1.58,2.08,1.16,1.75,1.77,2.41,198
11,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-12,,,2.2,,5.09,3.86,6.73,4.24,4.89,4.78,1.19,2.2,1.05,1.41,1.75,2.83,142
12,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-13,,,1.8,,4.53,4.1,7.41,4.92,5.3,5.15,1.42,1.97,1.04,1.18,1.77,3.17,132
13,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-14,,,1.61,,4.28,4.52,5.56,4.59,5.34,4.77,1.83,1.79,0.95,1.01,2.01,2.91,123
14,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-15,,,1.6,,5.2,4.03,5.7,3.85,5.11,4.8,1.15,1.53,1.01,1.06,1.53,2.32,106
15,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-16,,,1.97,,4.23,4.43,7.25,3.66,5.7,5.24,1.7,1.3,0.66,1.38,1.4,3.32,84
16,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-17,,,1.99,,4.36,4.24,6.96,3.9,5.82,5.74,1.43,2.06,0.97,0.97,1.89,3.37,73
17,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-18,,,1.86,,4.82,4.25,7.12,4.53,4.99,4.75,1.18,1.91,1.23,0.96,2.17,2.76,128
18,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-19,,,1.85,,4.24,4.63,8.03,4.26,5.7,4.74,1.57,1.88,1.2,0.81,1.59,2.53,99
19,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-20,,,1.61,,3.93,5.24,7.04,4.43,5.26,5.24,1.2,2.11,1.22,1.13,1.39,2.83,83
20,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-21,,,1.92,,3.55,4.08,6.55,3.84,4.52,4.37,0.99,1.85,0.93,0.99,1.7,2.62,71
21,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-22,,,1.9,,4.36,3.84,6.42,4.74,5.31,5.51,1.51,2.08,1.22,1.22,1.49,3.0,65
22,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-23,,,1.8,,3.93,5.07,6.24,4.32,5.73,5.02,1.19,1.77,0.9,0.75,1.43,2.69,49
23,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-24,,,2.47,,4.04,4.67,6.32,4.31,5.54,5.96,1.28,2.98,0.94,0.68,1.72,3.27,46
24,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-25,,,2.0,,4.35,4.37,6.79,4.31,5.43,6.59,1.54,1.78,1.58,1.23,1.87,2.83,79
25,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-26,,,1.92,,3.85,4.32,7.79,4.25,5.44,5.55,1.08,2.13,1.01,0.95,1.52,2.58,56
26,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-27,,,1.75,,3.89,4.84,7.16,3.58,5.46,5.43,1.19,2.06,0.97,1.28,1.72,2.74,64
27,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-28,,,1.94,,4.11,4.18,7.26,4.52,4.66,5.05,1.18,2.35,1.11,1.37,1.04,2.96,55
28,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-29,,,1.86,,3.97,3.9,6.04,3.84,5.01,5.19,1.2,1.8,1.2,1.15,1.6,2.35,39
29,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-30,,,1.94,,3.48,3.65,5.42,3.61,5.23,4.79,1.11,1.89,0.75,0.75,2.25,2.78,35
30,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-01-31,,,2.23,,4.41,4.03,6.38,3.69,5.2,4.65,1.2,2.04,1.61,1.27,1.32,2.83,52
31,GB,United Kingdom,York,GB-YOR,,,ChIJh-IigLwxeUgRAKFv7Z75DAM,2021-02-01,,,1.92,,4.65,4.3,6.79,3.58,5.94,5.37,1.22,2.25,1.2,1.07,1.53,3.04,55
