areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-08-12,29367
K02000001,United Kingdom,overview,2021-08-11,32383
K02000001,United Kingdom,overview,2021-08-10,30753
K02000001,United Kingdom,overview,2021-08-09,31436
K02000001,United Kingdom,overview,2021-08-08,22360
K02000001,United Kingdom,overview,2021-08-07,22067
K02000001,United Kingdom,overview,2021-08-06,27497
K02000001,United Kingdom,overview,2021-08-05,31006
K02000001,United Kingdom,overview,2021-08-04,31631
K02000001,United Kingdom,overview,2021-08-03,29751
K02000001,United Kingdom,overview,2021-08-02,29183
K02000001,United Kingdom,overview,2021-08-01,20449
K02000001,United Kingdom,overview,2021-07-31,20108
K02000001,United Kingdom,overview,2021-07-30,24228
K02000001,United Kingdom,overview,2021-07-29,27823
K02000001,United Kingdom,overview,2021-07-28,29552
K02000001,United Kingdom,overview,2021-07-27,28948
K02000001,United Kingdom,overview,2021-07-26,29282
K02000001,United Kingdom,overview,2021-07-25,21722
K02000001,United Kingdom,overview,2021-07-24,22428
K02000001,United Kingdom,overview,2021-07-23,27206
K02000001,United Kingdom,overview,2021-07-22,30628
K02000001,United Kingdom,overview,2021-07-21,34855
K02000001,United Kingdom,overview,2021-07-20,39023
K02000001,United Kingdom,overview,2021-07-19,46834
K02000001,United Kingdom,overview,2021-07-18,35457
K02000001,United Kingdom,overview,2021-07-17,37815
K02000001,United Kingdom,overview,2021-07-16,54178
K02000001,United Kingdom,overview,2021-07-15,60682
K02000001,United Kingdom,overview,2021-07-14,53762
K02000001,United Kingdom,overview,2021-07-13,46698
K02000001,United Kingdom,overview,2021-07-12,43598
K02000001,United Kingdom,overview,2021-07-11,30002
K02000001,United Kingdom,overview,2021-07-10,27848
K02000001,United Kingdom,overview,2021-07-09,32204
K02000001,United Kingdom,overview,2021-07-08,33336
K02000001,United Kingdom,overview,2021-07-07,37806
K02000001,United Kingdom,overview,2021-07-06,35347
K02000001,United Kingdom,overview,2021-07-05,34169
K02000001,United Kingdom,overview,2021-07-04,24661
K02000001,United Kingdom,overview,2021-07-03,23555
K02000001,United Kingdom,overview,2021-07-02,25771
K02000001,United Kingdom,overview,2021-07-01,28104
K02000001,United Kingdom,overview,2021-06-30,28333
K02000001,United Kingdom,overview,2021-06-29,27590
K02000001,United Kingdom,overview,2021-06-28,27747
K02000001,United Kingdom,overview,2021-06-27,18123
K02000001,United Kingdom,overview,2021-06-26,15965
K02000001,United Kingdom,overview,2021-06-25,17765
K02000001,United Kingdom,overview,2021-06-24,18295
K02000001,United Kingdom,overview,2021-06-23,17904
K02000001,United Kingdom,overview,2021-06-22,16997
K02000001,United Kingdom,overview,2021-06-21,15951
K02000001,United Kingdom,overview,2021-06-20,9872
K02000001,United Kingdom,overview,2021-06-19,8253
K02000001,United Kingdom,overview,2021-06-18,10058
K02000001,United Kingdom,overview,2021-06-17,10773
K02000001,United Kingdom,overview,2021-06-16,10775
K02000001,United Kingdom,overview,2021-06-15,10493
K02000001,United Kingdom,overview,2021-06-14,10101
K02000001,United Kingdom,overview,2021-06-13,6954
K02000001,United Kingdom,overview,2021-06-12,6114
K02000001,United Kingdom,overview,2021-06-11,7442
K02000001,United Kingdom,overview,2021-06-10,7837
K02000001,United Kingdom,overview,2021-06-09,7991
K02000001,United Kingdom,overview,2021-06-08,7673
K02000001,United Kingdom,overview,2021-06-07,7740
K02000001,United Kingdom,overview,2021-06-06,5406
K02000001,United Kingdom,overview,2021-06-05,4619
K02000001,United Kingdom,overview,2021-06-04,5706
K02000001,United Kingdom,overview,2021-06-03,6097
K02000001,United Kingdom,overview,2021-06-02,6047
K02000001,United Kingdom,overview,2021-06-01,5235
K02000001,United Kingdom,overview,2021-05-31,3780
K02000001,United Kingdom,overview,2021-05-30,3094
K02000001,United Kingdom,overview,2021-05-29,2933
K02000001,United Kingdom,overview,2021-05-28,3491
K02000001,United Kingdom,overview,2021-05-27,3637
K02000001,United Kingdom,overview,2021-05-26,3800
K02000001,United Kingdom,overview,2021-05-25,3302
K02000001,United Kingdom,overview,2021-05-24,3236
K02000001,United Kingdom,overview,2021-05-23,2241
K02000001,United Kingdom,overview,2021-05-22,1926
K02000001,United Kingdom,overview,2021-05-21,2292
K02000001,United Kingdom,overview,2021-05-20,2424
K02000001,United Kingdom,overview,2021-05-19,2710
K02000001,United Kingdom,overview,2021-05-18,2709
K02000001,United Kingdom,overview,2021-05-17,2765
K02000001,United Kingdom,overview,2021-05-16,1854
K02000001,United Kingdom,overview,2021-05-15,1580
K02000001,United Kingdom,overview,2021-05-14,1850
K02000001,United Kingdom,overview,2021-05-13,2092
K02000001,United Kingdom,overview,2021-05-12,2230
K02000001,United Kingdom,overview,2021-05-11,2197
K02000001,United Kingdom,overview,2021-05-10,2652
K02000001,United Kingdom,overview,2021-05-09,2169
K02000001,United Kingdom,overview,2021-05-08,1511
K02000001,United Kingdom,overview,2021-05-07,1881
K02000001,United Kingdom,overview,2021-05-06,2163
K02000001,United Kingdom,overview,2021-05-05,2393
K02000001,United Kingdom,overview,2021-05-04,2397
K02000001,United Kingdom,overview,2021-05-03,1974
K02000001,United Kingdom,overview,2021-05-02,1424
K02000001,United Kingdom,overview,2021-05-01,1355
K02000001,United Kingdom,overview,2021-04-30,1702
K02000001,United Kingdom,overview,2021-04-29,2085
K02000001,United Kingdom,overview,2021-04-28,2361
K02000001,United Kingdom,overview,2021-04-27,2058
K02000001,United Kingdom,overview,2021-04-26,2442
K02000001,United Kingdom,overview,2021-04-25,1994
K02000001,United Kingdom,overview,2021-04-24,1466
K02000001,United Kingdom,overview,2021-04-23,1890
K02000001,United Kingdom,overview,2021-04-22,2250
K02000001,United Kingdom,overview,2021-04-21,2540
K02000001,United Kingdom,overview,2021-04-20,2366
K02000001,United Kingdom,overview,2021-04-19,2600
K02000001,United Kingdom,overview,2021-04-18,2441
K02000001,United Kingdom,overview,2021-04-17,1636
K02000001,United Kingdom,overview,2021-04-16,2351
K02000001,United Kingdom,overview,2021-04-15,2187
K02000001,United Kingdom,overview,2021-04-14,2397
K02000001,United Kingdom,overview,2021-04-13,2332
K02000001,United Kingdom,overview,2021-04-12,2714
K02000001,United Kingdom,overview,2021-04-11,2256
K02000001,United Kingdom,overview,2021-04-10,2257
K02000001,United Kingdom,overview,2021-04-09,2782
K02000001,United Kingdom,overview,2021-04-08,2983
K02000001,United Kingdom,overview,2021-04-07,3083
K02000001,United Kingdom,overview,2021-04-06,3114
K02000001,United Kingdom,overview,2021-04-05,2616
K02000001,United Kingdom,overview,2021-04-04,2294
K02000001,United Kingdom,overview,2021-04-03,2406
K02000001,United Kingdom,overview,2021-04-02,2627
K02000001,United Kingdom,overview,2021-04-01,3471
K02000001,United Kingdom,overview,2021-03-31,3766
K02000001,United Kingdom,overview,2021-03-30,3594
K02000001,United Kingdom,overview,2021-03-29,3972
K02000001,United Kingdom,overview,2021-03-28,4652
K02000001,United Kingdom,overview,2021-03-27,3533
K02000001,United Kingdom,overview,2021-03-26,4387
K02000001,United Kingdom,overview,2021-03-25,5398
K02000001,United Kingdom,overview,2021-03-24,6005
K02000001,United Kingdom,overview,2021-03-23,5252
K02000001,United Kingdom,overview,2021-03-22,6201
K02000001,United Kingdom,overview,2021-03-21,5232
K02000001,United Kingdom,overview,2021-03-20,4099
K02000001,United Kingdom,overview,2021-03-19,4994
K02000001,United Kingdom,overview,2021-03-18,5471
K02000001,United Kingdom,overview,2021-03-17,5771
K02000001,United Kingdom,overview,2021-03-16,5672
K02000001,United Kingdom,overview,2021-03-15,6500
K02000001,United Kingdom,overview,2021-03-14,4299
K02000001,United Kingdom,overview,2021-03-13,4241
K02000001,United Kingdom,overview,2021-03-12,5584
K02000001,United Kingdom,overview,2021-03-11,5767
K02000001,United Kingdom,overview,2021-03-10,6035
K02000001,United Kingdom,overview,2021-03-09,6220
K02000001,United Kingdom,overview,2021-03-08,6640
K02000001,United Kingdom,overview,2021-03-07,4284
K02000001,United Kingdom,overview,2021-03-06,4497
K02000001,United Kingdom,overview,2021-03-05,5298
K02000001,United Kingdom,overview,2021-03-04,5718
K02000001,United Kingdom,overview,2021-03-03,5966
K02000001,United Kingdom,overview,2021-03-02,6652
K02000001,United Kingdom,overview,2021-03-01,6875
K02000001,United Kingdom,overview,2021-02-28,4711
K02000001,United Kingdom,overview,2021-02-27,4816
K02000001,United Kingdom,overview,2021-02-26,6561
K02000001,United Kingdom,overview,2021-02-25,7711
K02000001,United Kingdom,overview,2021-02-24,8536
K02000001,United Kingdom,overview,2021-02-23,9378
K02000001,United Kingdom,overview,2021-02-22,11239
K02000001,United Kingdom,overview,2021-02-21,7867
K02000001,United Kingdom,overview,2021-02-20,8052
K02000001,United Kingdom,overview,2021-02-19,10380
K02000001,United Kingdom,overview,2021-02-18,11406
K02000001,United Kingdom,overview,2021-02-17,11553
K02000001,United Kingdom,overview,2021-02-16,12481
K02000001,United Kingdom,overview,2021-02-15,14265
K02000001,United Kingdom,overview,2021-02-14,8753
K02000001,United Kingdom,overview,2021-02-13,8756
K02000001,United Kingdom,overview,2021-02-12,12150
K02000001,United Kingdom,overview,2021-02-11,12736
K02000001,United Kingdom,overview,2021-02-10,13478
K02000001,United Kingdom,overview,2021-02-09,13792
K02000001,United Kingdom,overview,2021-02-08,15695
K02000001,United Kingdom,overview,2021-02-07,11370
K02000001,United Kingdom,overview,2021-02-06,11952
K02000001,United Kingdom,overview,2021-02-05,15837
K02000001,United Kingdom,overview,2021-02-04,17949
K02000001,United Kingdom,overview,2021-02-03,19392
K02000001,United Kingdom,overview,2021-02-02,19750
K02000001,United Kingdom,overview,2021-02-01,22330
K02000001,United Kingdom,overview,2021-01-31,15366
K02000001,United Kingdom,overview,2021-01-30,16662
K02000001,United Kingdom,overview,2021-01-29,21763
K02000001,United Kingdom,overview,2021-01-28,24125
K02000001,United Kingdom,overview,2021-01-27,25666
K02000001,United Kingdom,overview,2021-01-26,26969
K02000001,United Kingdom,overview,2021-01-25,29898
K02000001,United Kingdom,overview,2021-01-24,17154
K02000001,United Kingdom,overview,2021-01-23,21820
K02000001,United Kingdom,overview,2021-01-22,29518
K02000001,United Kingdom,overview,2021-01-21,31651
K02000001,United Kingdom,overview,2021-01-20,35070
K02000001,United Kingdom,overview,2021-01-19,39455
K02000001,United Kingdom,overview,2021-01-18,44761
K02000001,United Kingdom,overview,2021-01-17,28839
